"species","DD_mean","DD_sd","DD_se","DD_n","ID_C_mean","ID_C_sd","ID_C_se","ID_C_n","ID_T_mean","ID_T_sd","ID_T_se","ID_T_n","iter"
"ISME",0.0280773386045546,0.0217350325051041,0.010867516252552,4,0.0304121917476425,0.0125293299106082,0.00560328667852827,5,0.013717594489443,0.00633775127007502,0.00316887563503751,4,"R2"
"LUAL",0.0446712744639928,0.0224160396148002,0.0112080198074001,4,0.0134544805996267,0.00301647094673673,0.0013490068178113,5,0.0252237204685529,0.0159471918823349,0.00797359594116745,4,"A"
"LUAL",0.04596724372045,0.0214893286281923,0.0107446643140962,4,0.0134544805996267,0.00301647094673673,0.0013490068178113,5,0.0239277512120956,0.0149436474900547,0.00747182374502734,4,"B"
"LUAL",0.0373314990466587,0.0314078392802179,0.0157039196401089,4,0.0134544805996267,0.00301647094673673,0.0013490068178113,5,0.0325634958858869,0.00270586909056098,0.00135293454528049,4,"C"
"LUAL",0.0452099681036824,0.0219985118616614,0.0109992559308307,4,0.0134544805996267,0.00301647094673673,0.0013490068178113,5,0.0246850268288633,0.0156251932744472,0.00781259663722361,4,"D"
"LUAL",0.0444460948403903,0.0226035082031868,0.0113017541015934,4,0.0134544805996267,0.00301647094673673,0.0013490068178113,5,0.0254489000921553,0.0160441830555986,0.00802209152779932,4,"E"
"LUAL",0.0385746179813118,0.0198347592034139,0.00991737960170697,4,0.0134544805996267,0.00301647094673673,0.0013490068178113,5,0.0313203769512338,0.0240921076414859,0.012046053820743,4,"F"
"LUAL",0.0299388733075206,0.0273466010151178,0.0136733005075589,4,0.0134544805996267,0.00301647094673673,0.0013490068178113,5,0.039956121625025,0.0139354429028381,0.00696772145141905,4,"G"
"LUAL",0.0378173423645442,0.0200158005415286,0.0100079002707643,4,0.0134544805996267,0.00301647094673673,0.0013490068178113,5,0.0320776525680014,0.0242143559606567,0.0121071779803283,4,"H"
"LUAL",0.0370534691012522,0.0203115136286883,0.0101557568143442,4,0.0134544805996267,0.00301647094673673,0.0013490068178113,5,0.0328415258312934,0.0241773744491286,0.0120886872245643,4,"I"
