"species","sample","treat","plant_g","comp","arth_mg","arth_abun","herb_mg","herb_abun","herb_mg_dens","herb_abun_dens","pred_herb","T_group"
"ISME","ISME11","C",974.4,10,39.8633689579882,33,38.4176930202573,31,0.0394270248565859,0.0318144499178982,0.0645161290322581,"ID_C"
"ISME","ISME12","C",1364.16,24,20.4074471719127,35,19.2815048986114,32,0.0141343426713959,0.0234576589256392,0.09375,"ID_C"
"ISME","ISME13","C",779.52,11,23.2363388359087,25,23.2363388359087,25,0.0298085217004165,0.0320710180623974,0,"ID_C"
"ISME","ISME2","T",779.52,17,12.7478084574712,18,5.86547889303951,13,0.00752447518093123,0.0166769293924466,0.384615384615385,"DD"
"ISME","ISME3","T",876.96,14,24.6761813099402,10,18.9326172367419,8,0.021588917666418,0.00912242291552636,0.25,"DD"
"ISME","ISME4","T",1071.84,15,14.6025644803826,19,10.5191772472827,16,0.00981413013815748,0.0149276011344977,0.1875,"ID_T"
"ISME","ISME5","T",876.96,14,16.7868407696266,16,8.77165330424141,13,0.0100023413887081,0.0148239372377303,0.230769230769231,"DD"
"ISME","ISME6","T",584.64,14,25.8119808816168,32,25.8119808816168,32,0.044150213604298,0.0547345374931582,0,"ID_T"
"ISME","ISME7","T",1169.28,21,12.2769042255506,15,10.1780515182692,13,0.00870454597553124,0.0111179529282978,0.153846153846154,"ID_T"
"ISME","ISME8","T",682.08,11,37.2507676179896,28,33.7303930329586,23,0.0494522534496812,0.0337203847056064,0.217391304347826,"DD"
"ISME","ISME9","C",1071.84,25,25.8453467190412,25,24.8199418758354,23,0.0231563870314929,0.0214584266308404,0.0869565217391304,"ID_C"
"LUAL","LUAL1","T",252.76,4,19.6698472172706,35,16.8556718602072,31,0.0666864688250009,0.122645988289286,0.129032258064516,"DD"
"LUAL","LUAL10","T",505.52,7,10.6911750714348,9,10.3733213805458,7,0.0205201008477326,0.0138471277100807,0.285714285714286,"DD"
"LUAL","LUAL11","T",505.52,5,42.6864543698022,41,30.5963531108934,34,0.0605245155698951,0.0672574774489634,0.205882352941176,"ID_T"
"LUAL","LUAL12","T",758.28,11,32.5645074360651,51,23.4718086844453,44,0.0309540126133425,0.0580260589755763,0.159090909090909,"ID_T"
