"species","Sample","treat","plant_total_mg","plant_total_abun","herb_mg","herb_abun","omni_mg","omni_abun","pred_mg","pred_abun","iph_mg","iph_abun"
"ARDO","ARDO12","T",19.7978835766484,42,18.8566488470452,38,0.941234729603157,4,NA,NA,NA,NA
"ARDO","ARDO13","C",15.0433512598118,21,9.11209313527095,13,3.64799873586804,5,2.28325938867284,3,0.250574632499621,0.230769230769231
"ARDO","ARDO3","T",37.0587179618379,47,32.4782791342748,42,NA,NA,4.5804388275631,5,0.141030835058293,0.119047619047619
"ARDO","ARDO4","T",31.3473817044188,49,20.6817585687296,46,NA,NA,10.6656231356892,3,0.515701945762743,0.0652173913043478
"ARDO","ARDO5","T",5.72149709293964,16,5.72149709293964,16,NA,NA,NA,NA,NA,NA
"ARDO","ARDO6","T",9.45480167393035,20,4.21267640373536,14,NA,NA,5.24212527019499,6,1.24436931959616,0.428571428571429
"ARDO","ARDO7","T",18.1664233062738,14,4.2507501776253,10,1.94352269347208,1,11.9721504351764,3,2.81647942948854,0.3
"ARDO","ARDO8","C",15.8808796495802,26,15.5819259586911,24,0.0341,1,0.264853690889069,1,0.0169974938650855,0.0416666666666667
"ARDO","ARDO9","C",18.9127986676647,28,6.90719788881107,24,NA,NA,12.0056007788536,4,1.7381289738783,0.166666666666667
"ENCA","ENCA1","T",16.1682371206425,21,8.42361428011231,17,NA,NA,7.74462284053024,4,0.919394286466187,0.235294117647059
"ENCA","ENCA10","C",1.14733509148598,6,1.14733509148598,6,NA,NA,NA,NA,NA,NA
"ENCA","ENCA11","C",6.65572620368515,17,6.04514941402346,16,NA,NA,0.610576789661687,1,0.101002762354439,0.0625
"ENCA","ENCA12","T",16.4192360533075,17,4.94570220472436,14,NA,NA,11.4735338485831,3,2.31989985924002,0.214285714285714
"ENCA","ENCA14","T",2.03532278241925,7,2.03532278241925,7,NA,NA,NA,NA,NA,NA
"ENCA","ENCA2","C",8.22087708398803,18,3.48564684315879,12,0.653516130647452,1,4.08171411018179,5,1.1710062131489,0.416666666666667
"ENCA","ENCA3","T",14.9761222489495,22,12.023545201859,18,0.1023,3,2.85027704709042,1,0.237057955805724,0.0555555555555556
"ENCA","ENCA4","C",18.3411335188293,36,15.863684417667,33,NA,NA,2.47744910116234,3,0.156171103505013,0.0909090909090909
"ENCA","ENCA5","C",12.2985697125205,24,9.95395563304507,21,NA,NA,2.3446140794754,3,0.235545964429635,0.142857142857143
"ENCA","ENCA6","T",15.2977571439048,17,4.53416641510775,14,NA,NA,10.7635907287971,3,2.37388524005934,0.214285714285714
"ENCA","ENCA7","C",19.3635981825557,21,16.2762654982501,19,NA,NA,3.0873326843056,2,0.189683111561281,0.105263157894737
"ENCA","ENCA8","T",33.0639629435975,26,21.9070370641737,19,4.68497899582589,4,6.47194688359785,3,0.295427759794223,0.157894736842105
"ENCA","ENCA9","T",35.5268658093274,29,28.3009590244079,21,0.0682,2,7.15770678491957,6,0.25291393054018,0.285714285714286
"ERFA","ERFA1","C",19.779362976229,30,7.64614364567967,26,7.02701496255822,2,5.10620436799116,2,0.667814339438462,0.0769230769230769
"ERFA","ERFA10","T",24.8267213789322,33,9.48182703727689,23,0.653516130647452,1,14.6913782110078,9,1.54942482638105,0.391304347826087
"ERFA","ERFA11","T",10.4050782235656,31,4.82225119643011,17,0.341,10,5.24182702713549,4,1.08700829003184,0.235294117647059
"ERFA","ERFA12","T",10.9537637897495,34,7.19926910486467,26,0.321158637940789,2,3.43333604694405,6,0.476900640458638,0.230769230769231
"ERFA","ERFA13","T",8.6864762385018,20,4.13282055064384,15,NA,NA,4.55365568785797,5,1.10182758531545,0.333333333333333
