species,Sample,treat,pred_abun,pred_mg,herb_abun,herb_mg,omni_abun,omni_mg,total_abun,total_mg,sample_g,plant_g,vaccum,vac_sec,vac_min,flower,diameter,height,complexity
ERPA,ERPA2,C,0,0,6,2.36830184,0,0,6,2.36830184,NA,610.02,3:52,232,3.866666667,Y,1.22,1.03,18
ERPA,ERPA3,T,6,8.132833165,17,22.44763875,0,0,23,30.58047191,9.576,542.24,2:28,148,2.466666667,Y,1,0.85,25
ERPA,ERPA4,C,3,2.764885174,17,12.53143167,0,0,20,15.29631684,23.779,847.25,3:29,209,3.483333333,N,1.3,0.8,30
ERPA,ERPA5,T,10,13.54528689,29,6.733350754,0,0,39,20.27863765,36.256,813.36,2:30,150,2.5,Y,1.18,0.72,31
ERPA,ERPA6,C,0,0,12,2.36813861,0,0,12,2.36813861,NA,305.01,1:20,80,1.333333333,N,1,0.96,22
ERPA,ERPA7,T,7,16.77913246,9,3.02490105,10,2.197470266,26,22.00150378,13.662,1152.26,4:25,265,4.416666667,Y,1.47,0.91,20
ERPA,ERPA8,C,5,7.606686484,24,17.56617087,0,0,29,25.17285736,9.854,982.81,2:12,132,2.2,Y,1.63,0.99,90
ISME,ISME1,T,3,2.078237422,12,13.9812461,0,0,15,16.05948352,6.356,876.96,3:44,224,3.733333333,N,0.64,0.93,17
ISME,ISME10,C,0,0,19,34.99345501,2,0.501740676,21,35.49519569,4.765,779.52,2:30,150,2.5,N,0.48,0.93,19
ISME,ISME11,C,2,1.445675938,31,38.41769302,0,0,33,39.86336896,6.096,974.4,3:20,200,3.333333333,N,0.54,1.04,10
ISME,ISME12,C,3,1.125942273,30,18.68712881,2,0.620076092,35,20.43314717,13.111,1364.16,3:00,180,3,N,0.99,1.18,24
ISME,ISME13,C,0,0,25,23.23633884,0,0,25,23.23633884,7.2,779.52,2:55,175,2.916666667,Y,0.59,1.19,11
ISME,ISME2,T,5,6.882329564,11,5.819833384,2,0.086852552,18,12.7890155,NA,779.52,3:40,220,3.666666667,N,0.84,0.84,17
ISME,ISME3,T,2,5.743564073,8,18.93261724,0,0,10,24.67618131,4.863,876.96,2:08,128,2.133333333,N,0.49,0.61,14
ISME,ISME4,T,3,4.083387233,16,10.51917725,0,0,19,14.60256448,10.228,1071.84,3:19,199,3.316666667,N,0.58,1.04,15
ISME,ISME5,T,3,8.015187465,13,8.771653304,0,0,16,16.78684077,5.367,876.96,3:37,217,3.616666667,N,0.71,1.11,14
ISME,ISME6,T,0,0,32,25.81198088,0,0,32,25.81198088,8.878,584.64,3:18,198,3.3,N,0.66,0.91,14
ISME,ISME7,T,2,2.098852707,13,10.17805152,0,0,15,12.27690423,9.677,1169.28,4:29,269,4.483333333,N,0.64,0.82,21
ISME,ISME8,T,5,3.520374585,23,33.73039303,0,0,28,37.25076762,7.682,682.08,4:10,250,4.166666667,N,0.77,0.8,11
ISME,ISME9,C,2,1.025404843,23,24.81994188,0,0,25,25.84534672,12.921,1071.84,3:05,185,3.083333333,N,0.6,0.83,25
LUAL,LUAL1,T,4,2.814175357,29,15.9824087,2,0.873263157,35,19.66984722,NA,252.76,3:51,231,3.85,N,0.51,1.21,4
LUAL,LUAL10,T,2,0.317853691,7,10.37332138,0,0,9,10.69117507,15.044,505.52,3:03,183,3.05,N,0.84,0.6,7
LUAL,LUAL11,T,7,12.09010126,30,29.717365,4,0.878988106,41,42.68645437,13.517,505.52,3:09,189,3.15,N,0.98,0.53,5
LUAL,LUAL12,T,7,9.092698752,41,22.8125676,3,0.65924108,51,32.56450744,5.041,758.28,2:31,151,2.516666667,N,0.81,0.7,11
LUAL,LUAL13,T,1,0.145695947,35,22.83553246,0,0,36,22.98122841,5.249,631.9,2:18,138,2.3,N,0.8,0.71,10
