"species","combo","DD_mean","DD_sd","DD_se","DD_n","ID_T_mean","ID_T_sd","ID_T_se","ID_T_n","ID_C_mean","ID_C_sd","ID_C_se","ID_C_n","lrr","lrr_var","sei","zi","ci.lb","ci.ub"
"SAAP","D",0.0154162026275091,0.00414379866333192,0.00239242327374229,3,0.0296411649207555,0.00822377224528971,0.00367778275438877,5,0.0113747878467149,0.00499525957882777,0.00223394799670317,5,-0.957764788150425,0.0539659443539968,0.232305713132495,-4.12286368352968,-1.41307561929301,-0.502453957007842
"SAAP","E",0.0222219587813707,0.00785877362028949,0.00453726506517447,3,0.0255577112284386,0.011617713158088,0.00519559927291569,5,0.0113747878467149,0.00499525957882777,0.00223394799670317,5,-0.80953976662184,0.0798972576316175,0.282661029559466,-2.86399496911027,-1.36354520439141,-0.255534328852275
"SAAP","F",0.0195896157243713,0.00339947679349555,0.00196268884182854,3,0.0271371170626382,0.0117722918771916,0.0052647289776738,5,0.0113747878467149,0.00499525957882777,0.00223394799670317,5,-0.869503110276357,0.0762087104216057,0.276059251650086,-3.14969741125894,-1.41056930110961,-0.328436919443108
"SAAP","G",0.027674265692789,0.0137775663407076,0.00795448163558547,3,0.0222863270815876,0.00790878572791822,0.00353691650142106,5,0.0113747878467149,0.00499525957882777,0.00223394799670317,5,-0.672574041242074,0.0637576544635643,0.252502781100653,-2.66363023135959,-1.16747039819555,-0.177677684288593
"SAAP","H",0.0290292406135021,0.0133165872435523,0.00768833522975204,3,0.0214733421291597,0.00745921443163822,0.0033358621055781,5,0.0113747878467149,0.00499525957882777,0.00223394799670317,5,-0.635412951026282,0.0627041865134535,0.250408040033569,-2.53751018114714,-1.12620369093134,-0.144622211121223
"SAAP","I",0.0235234799319585,0.0172232980334476,0.00994387575594412,3,0.0247767985380859,0.00469148192307854,0.00209809449904301,5,0.0113747878467149,0.00499525957882777,0.00223394799670317,5,-0.778508358633669,0.0457415460430012,0.213872733285478,-3.64005428216281,-1.19769121314835,-0.359325504118991
"SAAP","J",0.0303292360858201,0.013255293032756,0.00765294700064904,3,0.0206933448457689,0.00630018210455449,0.00281752709128231,5,0.0113747878467149,0.00499525957882777,0.00223394799670317,5,-0.598412829717349,0.0571093858354536,0.238975701349433,-2.50407395537817,-1.06679659754244,-0.13002906189226
"SAAP","K",0.0276968930288208,0.0137667105152027,0.00794821402180794,3,0.0222727506799685,0.00790663728647721,0.0035359556891995,5,0.0113747878467149,0.00499525957882777,0.00223394799670317,5,-0.671964674858334,0.0637746701988129,0.252536473006995,-2.66086188207642,-1.16692706673482,-0.177002282981852
"SAAP","L",0.0224043765897315,0.00537811618290316,0.00310505682593222,3,0.0254482605434221,0.0123394559466964,0.00551837246043543,5,0.0113747878467149,0.00499525957882777,0.00223394799670317,5,-0.805248078836735,0.0855933872044714,0.292563475513386,-2.75238758844965,-1.37866195403484,-0.231834203638633
"SAAP","M",0.016898615908188,0.00622975805490709,0.00359675248998685,3,0.0287517169523482,0.0092630918964183,0.00414258063244375,5,0.0113747878467149,0.00499525957882777,0.00223394799670317,5,-0.92729817171703,0.0593302561452804,0.243578028864018,-3.80698610643045,-1.40470233571576,-0.449894007718297
"SAAP","N",0.0237043720620495,0.00728919137852529,0.00420841660456628,3,0.0246682632600313,0.0120027351710313,0.00536778635167071,5,0.0113747878467149,0.00499525957882777,0.00223394799670317,5,-0.774118215374565,0.0859201471812622,0.293121386427641,-2.64094757741487,-1.34862557587119,-0.199610854877942
"SAAP","O",0.0210720290050502,0.00382558381535683,0.00220870184560374,3,0.0262476690942309,0.0122960663173387,0.00549896802828297,5,0.0113747878467149,0.00499525957882777,0.00223394799670317,5,-0.836177874859913,0.0824624251353826,0.28716271543392,-2.91186087161907,-1.39900645481312,-0.273349294906705
"SAAP","P",0.0182535908289011,0.00837390306862847,0.00483467519084048,3,0.0279387319999203,0.00959356666833544,0.00429037344341485,5,0.0113747878467149,0.00499525957882777,0.00223394799670317,5,-0.898614656007801,0.0621526686563247,0.24930436950909,-3.60448819159199,-1.38724224143408,-0.40998707058152
"SAAP","Q",0.0250593469827626,0.00753523665308258,0.00435047091006476,3,0.0238552783076034,0.0119162844674732,0.00532912442169901,5,0.0113747878467149,0.00499525957882777,0.00223394799670317,5,-0.740606191711251,0.0884757253455163,0.297448693635585,-2.48986197471283,-1.32359491848549,-0.157617464937016
"SAAP","R",0.0224270039257633,0.00538357209186928,0.00310820679644249,3,0.025434684141803,0.0123424273847034,0.00551970132791035,5,0.0113747878467149,0.00499525957882777,0.00223394799670317,5,-0.804714446122464,0.0856662731879804,0.292688013399901,-2.74939324222677,-1.37837241109285,-0.231056481152083
"SAAP","S",0.0195535863012191,0.0105127749888254,0.00606955346972831,3,0.0271587347165295,0.00941787674432645,0.00421180252080567,5,0.0113747878467149,0.00499525957882777,0.00223394799670317,5,-0.870299401496598,0.0626209791146287,0.250241841254872,-3.4778332717357,-1.36076439778114,-0.379834405212059
"SAAP","T",0.0169212432442197,0.00626437086269516,0.0036167362038807,3,0.0287381405507291,0.00927309736792687,0.00414705521533177,5,0.0113747878467149,0.00499525957882777,0.00223394799670317,5,-0.926825865732598,0.0593947878253429,0.243710458998671,-3.80297944347826,-1.40448958802572,-0.449162143439477
"SAAP","U",0.0237269993980813,0.00728716539136725,0.00420724690033521,3,0.0246546868584122,0.0120046873504133,0.00536865939283122,5,0.0113747878467149,0.00499525957882777,0.00223394799670317,5,-0.773567704834164,0.0859877288589842,0.293236643104139,-2.63803219353948,-1.3483009642657,-0.198834445402626
"SAAP","V",0.0283891536597193,0.0129507326680437,0.00747710899209793,3,0.0218573943014294,0.00819804147470482,0.00366627560396052,5,0.0113747878467149,0.00499525957882777,0.00223394799670317,5,-0.653139962433086,0.0667062991512947,0.258275626320593,-2.52884862477249,-1.15935088810597,-0.146929036760198
"SAAP","W",0.0297441285804324,0.0123420286980198,0.00712567359114782,3,0.0210444093490015,0.00770889632362105,0.00344752324222298,5,0.0113747878467149,0.00499525957882777,0.00223394799670317,5,-0.615235621907455,0.0654083063926562,0.255750476818043,-2.4056088948963,-1.11649734549976,-0.113973898315145
"SAAP","X",0.0242383678988888,0.0168358004828005,0.0097201539407677,3,0.0243478657579277,0.00541660475572855,0.00242237928821154,5,0.0113747878467149,0.00499525957882777,0.00223394799670317,5,-0.761044883317344,0.0484692192979353,0.220157260379791,-3.45682391761449,-1.19254518459674,-0.329544582037945
"SAAP","Y",0.0310441240527504,0.012161780979411,0.0070216075222882,3,0.0202644120656107,0.00653016700655699,0.00292037946621755,5,0.0113747878467149,0.00499525957882777,0.00223394799670317,5,-0.577466933528171,0.0593396359148382,0.243597282240254,-2.37058036205276,-1.05490883345091,-0.100025033605434
"SAAP","Z",0.0284117809957511,0.0129373077858251,0.00746935813273516,3,0.0218438178998103,0.00819508066473672,0.00366495148948909,5,0.0113747878467149,0.00499525957882777,0.00223394799670317,5,-0.652518634036367,0.0667209391472633,0.258303966572841,-2.52616575228766,-1.15878510558297,-0.146252162489761
"SAAP","A1",0.0231192645566618,0.00425751300219263,0.00245807627789425,3,0.0250193277632639,0.0126614299219112,0.00566236359954866,5,0.0113747878467149,0.00499525957882777,0.00223394799670317,5,-0.788249322877917,0.0897914260075594,0.299652175042264,-2.63054764333595,-1.37555679384985,-0.200941851905989
"SAAP","B1",0.0176135038751183,0.00631032288316649,0.00364326661526963,3,0.02832278417219,0.00986898717916522,0.00441354524033747,5,0.0113747878467149,0.00499525957882777,0.00223394799670317,5,-0.912267261333363,0.0628539289939662,0.250706858689519,-3.63878063050176,-1.40364367504199,-0.420890847624733
"SAAP","C1",0.0244192600289798,0.00628860404852538,0.0036307272402431,3,0.0242393304798731,0.0122995475601632,0.00550052488740333,5,0.0113747878467149,0.00499525957882777,0.00223394799670317,5,-0.756577226527547,0.0900661095389799,0.300110162338732,-2.5209983581749,-1.34478233610593,-0.168372116949164
"SAAP","D1",0.0217869169719805,0.0025874335901674,0.00149385547979343,3,0.0258187363140727,0.0126530673284327,0.00565862373405142,5,0.0113747878467149,0.00499525957882777,0.00223394799670317,5,-0.819701128260896,0.0866051989411121,0.294287612619206,-2.78537421594278,-1.39649425009082,-0.242908006430976
"SAAP","E1",0.0189684787958314,0.00825993803069912,0.00476887744551377,3,0.0275097992197622,0.0101369013086423,0.00453336008146617,5,0.0113747878467149,0.00499525957882777,0.00223394799670317,5,-0.883142962639439,0.065726863381925,0.256372509021394,-3.4447646746935,-1.38562384694754,-0.380662078331336
"SAAP","F1",0.0257742349496929,0.00634728725877371,0.00366460800747689,3,0.0234263455274452,0.0121794607585422,0.00544682043707832,5,0.0113747878467149,0.00499525957882777,0.00223394799670317,5,-0.72246195245561,0.0926309991960477,0.304353411671444,-2.3737599933183,-1.31898367790353,-0.125940227007686
"SAAP","G1",0.0231418918926936,0.00425870916178011,0.00245876688095407,3,0.0250057513616448,0.0126637510218914,0.00566340162701633,5,0.0113747878467149,0.00499525957882777,0.00223394799670317,5,-0.78770653905069,0.0898658612477471,0.299776352048902,-2.62764735666072,-1.37525739248334,-0.200155685618043
"SAAP","H1",0.0202684742681494,0.0102875997333297,0.00593954847535302,3,0.0267298019363714,0.00992875788225704,0.00444027551137272,5,0.0113747878467149,0.00499525957882777,0.00223394799670317,5,-0.854379806510715,0.066165746617943,0.257227033217629,-3.32150083847471,-1.35853552746735,-0.350224085554075
"SAAP","I1",0.01763613121115,0.00634067060662833,0.00366078788157962,3,0.028309207770571,0.00987764206918138,0.00441741582482025,5,0.0113747878467149,0.00499525957882777,0.00223394799670317,5,-0.911787800823025,0.0629198766789119,0.250838347704078,-3.63496175592215,-1.40342192826455,-0.420153673381498
"SAAP","J1",0.0244418873650116,0.00628239455436736,0.00362714218711943,3,0.024225754078254,0.0123008608873831,0.00550111222519141,5,0.0113747878467149,0.00499525957882777,0.00223394799670317,5,-0.756016971568829,0.0901348528821078,0.300224670675326,-2.51817070818412,-1.34444651336287,-0.167587429774792
"SAAP","K1",0.0312265418611113,0.0104997508204529,0.0060620339626125,3,0.0201549613805942,0.00764758832063769,0.00342010546977586,5,0.0113747878467149,0.00499525957882777,0.00223394799670317,5,-0.572051166622105,0.0673657421774902,0.259549113228094,-2.20401896006241,-1.08075808076848,-0.0633442524757313
"SAAP","L1",0.0257207811795677,0.0163048677108771,0.00941361976197612,3,0.0234584177895204,0.00597860879741271,0.00267371513637862,5,0.0113747878467149,0.00499525957882777,0.00223394799670317,5,-0.723830084224177,0.0515615849083108,0.227071761582789,-3.18767106565241,-1.16888255883251,-0.278777609615845
"SAAP","M1",0.0325265373334293,0.0100023307204401,0.00577484833396978,3,0.0193749640972034,0.00632196078993324,0.0028272668154758,5,0.0113747878467149,0.00499525957882777,0.00223394799670317,5,-0.532582408365296,0.0598646082114859,0.244672450863365,-2.17671587661788,-1.01213160006664,-0.0530332166639541
"SAAP","N1",0.0298941942764299,0.011455055517808,0.00661357938678858,3,0.020954369931403,0.00824593551234596,0.00368769446873702,5,0.0113747878467149,0.00499525957882777,0.00223394799670317,5,-0.610947899402857,0.0695422631323009,0.26370867094637,-2.31675317011895,-1.12780739686867,-0.094088401937048
"SAAP","O1",0.0270757561002808,0.016164765392111,0.00933273165052246,3,0.0226454328370925,0.00558721591408567,0.00249867891777284,5,0.0113747878467149,0.00499525957882777,0.00223394799670317,5,-0.688558877025514,0.0507456152727489,0.225267874480026,-3.0566226037107,-1.13007579788025,-0.247041956170773
"SAAP","P1",0.0338815122541424,0.00823605865926994,0.00475509068399105,3,0.0185619791447756,0.00520969679857577,0.00232984723675569,5,0.0113747878467149,0.00499525957882777,0.00223394799670317,5,-0.489716042803699,0.0543254383854704,0.233078180843833,-2.10108059463455,-0.946540882839725,-0.0328912027676732
"SAAP","Q1",0.031249169197143,0.0104739971256814,0.0060471650600035,3,0.0201413849789752,0.00764063399986272,0.00341699540297783,5,0.0113747878467149,0.00499525957882777,0.00223394799670317,5,-0.57137733867693,0.067352158008397,0.25952294312526,-2.20164480178984,-1.08003296036428,-0.0627217169895836
"SAAP","R1",0.0283757515725988,0.0163489908195697,0.00943909425065728,3,0.0218654355537017,0.00418986458065043,0.0018737644037706,5,0.0113747878467149,0.00499525957882777,0.00223394799670317,5,-0.653507790974358,0.0459145557639052,0.2142768204074,-3.04982960700956,-1.07348264169462,-0.233532940254097
"SAAP","S1",0.0257434085155995,0.0162997638528151,0.00941067304815011,3,0.0234448413879013,0.00597909412685162,0.00267393218230199,5,0.0113747878467149,0.00499525957882777,0.00223394799670317,5,-0.723251173409179,0.0515787461818304,0.22710954665498,-3.18459168300806,-1.16837770539816,-0.2781246414202
"SAAP","T1",0.032549164669461,0.00997086867003391,0.00575668371069848,3,0.0193613876955844,0.00631144952735937,0.00282256603594689,5,0.0113747878467149,0.00499525957882777,0.00223394799670317,5,-0.531881443945746,0.0598236326399182,0.244588700965352,-2.17459531796235,-1.01126648886327,-0.0524963990282199
"SAAP","U1",0.0204508920765102,0.00860625181050138,0.00496882179950668,3,0.0266203512513548,0.0107792329248673,0.00482061951306145,5,0.0113747878467149,0.00499525957882777,0.00223394799670317,5,-0.850276694072166,0.0713636496711408,0.267139756814932,-3.18289087408737,-1.37386099626822,-0.326692391876112
"SAAP","V1",0.0272566482303718,0.0039827402096447,0.00229943613215072,3,0.0225368975590379,0.0123569539005156,0.00552619778327681,5,0.0113747878467149,0.00499525957882777,0.00223394799670317,5,-0.683754543744468,0.0986971914054313,0.314161091488796,-2.17644565883122,-1.2994989684063,-0.068010119082636
"SAAP","W1",0.0246243051733725,0.00232753704111348,0.0013438041372357,3,0.0241163033932375,0.0129706450707493,0.00580064881804358,5,0.0113747878467149,0.00499525957882777,0.00223394799670317,5,-0.751488787301957,0.0964246470177789,0.310523182738067,-2.42007305437113,-1.36010304183332,-0.142874532770596
"SAAP","X1",0.0217508875488282,0.0102904961284194,0.00594122070983772,3,0.025840353967964,0.0105014717965713,0.00469640096018605,5,0.0113747878467149,0.00499525957882777,0.00223394799670317,5,-0.820538063446366,0.0716027661443943,0.267586931938752,-3.06643548510127,-1.34499881277989,-0.296077314112842
