"species","iter","p","sum","n","observed"
"ISME","S",0.772,772,1000,-0.00660414501926335
"ISME","R",0.186,186,1000,0.0137697087178116
"ISME","Q",0.696,696,1000,-0.00395312509657175
"ISME","P",0.198,198,1000,0.0131208110112232
"ISME","O",0.42,420,1000,0.000982868304793154
"ISME","N",0.889,889,1000,-0.0167399655095902
"ISME","M",0.336,336,1000,0.00363388822748475
"ISME","L",0.497,497,1000,0.000333970598204725
"ISME","K",0.045,45,1000,0.0207078243352797
"ISME","J",0.38,380,1000,0.00298499052089632
"ISME","I",0.458,458,1000,0.000428076223480033
"ISME","H",0.03,30,1000,0.020801929960555
"ISME","G",0.332,332,1000,0.00307909614617163
"ISME","F",0.066,66,1000,0.0201530322539666
"ISME","E",0.741,741,1000,-0.00545931754065022
"ISME","D",0.136,136,1000,0.0149145361964248
"ISME","C",0.666,666,1000,-0.00280829761795863
"ISME","B",0.178,178,1000,0.0142656384898363
"ISME","A",0.164,164,1000,0.0143597441151116
"ERPA","I1",0.606,606,1000,-0.00680396187392572
"ERPA","H1",0.727,727,1000,-0.00748105549663413
"ERPA","G1",0.16,160,1000,0.012044286077677
"ERPA","F1",0.656,656,1000,-0.0073307396980447
"ERPA","E1",0.773,773,1000,-0.00946070029442487
"ERPA","D1",0.509,509,1000,-0.00347409266010816
"ERPA","C1",0.028,28,1000,0.016051248914203
"ERPA","B1",0.474,474,1000,-0.00332377686151873
"ERPA","A1",0.571,571,1000,-0.0054537374578989
"ERPA","Z",0.105,105,1000,0.0153741552914946
"ERPA","Y",0.537,537,1000,-0.00400087048422715
"ERPA","X",0.617,617,1000,-0.00613083108060732
"ERPA","W",0.059,59,1000,0.015524471090084
"ERPA","V",0.126,126,1000,0.0133945104937039
"ERPA","U",0.556,556,1000,-0.00598051528201789
"ERPA","T",0.886,886,1000,-0.0108218136169972
"ERPA","S",0.365,365,1000,0.00870352795731393
"ERPA","R",0.863,863,1000,-0.0106714978184078
"ERPA","Q",0.955,955,1000,-0.012801458414788
"ERPA","P",0.424,424,1000,0.00802643433460551
"ERPA","O",0.92,920,1000,-0.0113485914411162
"ERPA","N",1,1000,1000,-0.0134785520374964
"ERPA","M",0.374,374,1000,0.00817675013319493
"ERPA","L",0.432,432,1000,0.00604678953681477
"ERPA","K",0.969,969,1000,-0.013328236238907
"ERPA","J",0.189,189,1000,0.0120333971711315
"ERPA","I",0.677,677,1000,-0.00734162860459026
"ERPA","H",0.801,801,1000,-0.00947158920097043
"ERPA","G",0.141,141,1000,0.0121837129697209
"ERPA","F",0.241,241,1000,0.0100537523733407
"ERPA","E",0.761,761,1000,-0.00932127340238101
"ERPA","D",0.228,228,1000,0.0115066193470125
"ERPA","C",0.318,318,1000,0.00937665875063232
"ERPA","B",0.818,818,1000,-0.00999836702508942
"ERPA","A",0.285,285,1000,0.00952697454922175
"ERFA","R2",0.294,294,1000,0.00296461933679877
"ERFA","Q2",0.568,568,1000,-0.000586391673964418
"ERFA","P2",0.601,601,1000,-0.00112852345480775
"ERFA","O2",0.058,58,1000,0.00887150121079372
"ERFA","N2",0.595,595,1000,-0.00127610838035676
"ERFA","M2",0.477,477,1000,0.000438718690828333
"ERFA","L2",0.477,477,1000,-0.000103413090015003
"ERFA","K2",0.029,29,1000,0.00989661157558647
"ERFA","J2",0.536,536,1000,-0.000250998015564007
"ERFA","I2",0.746,746,1000,-0.00365442410077819
"ERFA","H2",0.129,129,1000,0.00634560056482328
"ERFA","G2",0.722,722,1000,-0.0038020090263272
"ERFA","F2",0.163,163,1000,0.00580346878397995
"ERFA","E2",0.771,771,1000,-0.00434414080717053
"ERFA","D2",0.183,183,1000,0.00565588385843094
"ERFA","C2",0.275,275,1000,0.00224789556271053
"ERFA","B2",0.364,364,1000,0.0017057637818672
"ERFA","A2",0.011,11,1000,0.0117057884474687
"ERFA","Z1",0.382,382,1000,0.00155817885631819
"ERFA","Y1",0.665,665,1000,-0.00184524722889599
"ERFA","X1",0.103,103,1000,0.00815477743670548
"ERFA","W1",0.684,684,1000,-0.001992832154445
