"species","variable","C_mean","C_se","C_sd","C_n","T_mean","T_se","T_sd","T_n","yi","vi","sei","zi","ci.lb","ci.ub"
"ARDO","herb_mg_dens",0.0334408767572909,0.00653217714238326,0.0146063921314393,5,0.0491127571715413,0.0166337580173368,0.0440087870823,7,-0.384339814556075,0.152863385280926,0.390977474134925,-0.983022910479596,-1.15064158262697,0.381961953514818
"ARDO","pred_mg_dens",0.0132119802974399,0.00761527482537324,0.0170282721768774,5,0.0159689846280709,0.00545991163600797,0.0144455683692649,7,-0.189524363982704,0.449127876495741,0.670170035510198,-0.282800414731195,-1.50303349710062,1.12398476913521
"ARDO","plant_total_mg_dens",0.0483809071705767,0.00683667546741025,0.0152872710852345,5,0.0662629060394989,0.0189588658620253,0.0501604442107512,7,-0.314524998088928,0.10183060166631,0.319109074873013,-0.985634765210268,-0.939967291979928,0.310917295802072
"ARDO","iph_mg_omni",0.486724190558591,0.315766365986653,0.706075059354234,5,0.585362078198615,0.277784355541126,0.734948322866166,7,-0.184532974033786,0.646086321293756,0.803794949781196,-0.229577175228606,-1.75994212656011,1.39087617849254
"ARDO","iph_abun_omni",0.149125541125541,0.0276608485531624,0.0618515376801977,5,0.141706670053439,0.0592072940738699,0.156647775920528,7,0.0510292918390781,0.20897551747232,0.457138400785058,0.111627664076008,-0.844945509649871,0.947004093328027
"ARDO","iph_mg",0.502473896731771,0.312317352076588,0.698362829795986,5,0.711605229408492,0.387042804173074,1.02401900657903,7,-0.347979612786565,0.682164344540741,0.825932409184154,-0.421317300201714,-1.96677738845191,1.27081816287878
"ARDO","iph_abun",0.165915750915751,0.0327179796804035,0.073159626651839,5,0.145602773949543,0.0607522832819317,0.160735433143338,7,0.130597947486072,0.212981243534392,0.4614989095701,0.282986470342319,-0.773923294175832,1.03511918914798
"ARDO","herb_omni_mg_dens",0.0351689268731368,0.00588374958840328,0.0131564640422561,5,0.050293921411428,0.0163767928471142,0.0433289211462856,7,-0.357721289655119,0.134018677021042,0.366085614332279,-0.977151998467854,-1.07523590900461,0.359793329694368
"ENCA","omni_mg_dens",0.000154785350028292,0.000154785350028292,0.000379145127227406,6,0.000881480681560605,0.000839777363760993,0.00222184206117301,7,-1.73956376756453,1.90761722717788,1.38116517012915,-1.25949003434677,-4.4465977577188,0.967470222589743
"ENCA","herb_mg_dens",0.0151846447911402,0.00431945519668875,0.0105804611987006,6,0.0228800176280829,0.00432884449904399,0.0114530460087404,7,-0.409979230833589,0.116714391398049,0.341634880242122,-1.20005085705251,-1.0795712919708,0.259612830303625
"ENCA","pred_mg_dens",0.00349868412918412,0.000966983604753999,0.00236861642128442,6,0.0172771399429501,0.00622467728226795,0.0164689480805144,7,-1.59699730240316,0.206193204107758,0.454085018589865,-3.51695659848576,-2.48698758475849,-0.70700702004782
"ENCA","plant_total_mg_dens",0.0188381142703526,0.00482978616862494,0.0118305116798829,6,0.0410386382525936,0.00818318177784016,0.0216506639174005,7,-0.778631847000813,0.105493732801811,0.324797987681284,-2.39728039129622,-1.41522420510721,-0.142039488894413
