Appendix S4. List of the species of PhytoPhylo (a megaphylogeny of plants in the world),,
Acacia haematoxylon,Willd.,ild-445
Acacia hamersleyensis,Maslin,ild-49238
Acacia hindsii,Benth.,ild-10252
Acacia hockii,De Wild.,ild-457
Acacia idiomorpha,Benth.,ild-48163
Acacia inaequilatera,Domin,ild-47850
Acacia inaequiloba,W.Fitzg.,ild-47935
Acacia incurva,Benth.,ild-48238
Acacia irrorata,Spreng.,ild-32520
Acacia jonesii,F.Muell. & Maiden,ild-47431
Acacia karroo,Hayne,ild-470
Acacia kirkii,Oliv.,ild-475
Acacia koa,A.Gray,ild-19900
Acacia kosiensis,P.P.Sw. ex Coates Palgr.,kew-2612667
Acacia kraussiana,Benth.,ild-481
Acacia latisepala,Pedley,ild-47397
Acacia leiocalyx,(Domin) Pedley,ild-48878
Acacia leptalea,Maslin,ild-48488
Acacia leptoclada,Benth.,ild-47425
Acacia leucoclada,Tindale,ild-47439
Acacia ligulata,Benth.,ild-47889
Acacia lineata,G.Don,ild-31519
Acacia loderi,Maiden,ild-48711
Acacia longifolia,(Andrews) Willd.,ild-588
Acacia longispinea,Morrison,ild-48582
Acacia longissima,Wendl.,ild-49413
Acacia loroloba,Tindale,ild-47455
Acacia lycopodiifolia,Hook.,ild-49463
Acacia lysiphloia,F.Muell.,ild-49012
Acacia mabellae,Maiden,ild-31524
Acacia macradenia,Benth.,ild-47498
Acacia macrostachya,DC.,ild-495
Acacia maidenii,F.Muell.,ild-497
Acacia marramamba,Maslin,ild-47851
Acacia mayana,Lundell,ild-20883
Acacia mearnsii,De Wild.,ild-502
Acacia melanoxylon,R.Br.,ild-504
Acacia melvillei,Pedley,ild-48723
Acacia microbotrya,Benth.,ild-47570
Acacia microcarpa,F.Muell.,ild-48391
Acacia mitchellii,Benth.,ild-47470
Acacia modesta,Wall.,ild-33179
Acacia mollifolia,Maiden & Blakeley,ild-31525
Acacia monticola,J.M.Black,ild-49022
Acacia montis-usti,Merxm. & A.Schreib.,ild-510
Acacia mucronata,Wendl.,ild-49376
Acacia muelleriana,Maiden & R.T.Baker,ild-47432
Acacia multispicata,Benth.,ild-49323
Acacia murrayana,Benth.,ild-47819
Acacia myrtifolia,(Sm.) Willd.,ild-32171
Acacia nanodealbata,J.H.Willis,ild-47462
Acacia nebrownii,Burtt Davy,ild-511
Acacia neovernicosa,Isely,ild-10641
Acacia nervosa,DC.,ild-48010
Acacia nigrescens,Oliv.,ild-515
Acacia nilotica,(L.) Delile,ild-518
Acacia notabilis,F.Muell.,ild-47548
Acacia nuperrima,Baker f.,ild-49052
Acacia obtusata,DC.,ild-47611
Acacia obtusifolia,A.Cunn.,ild-31527
Acacia olsenii,Tindale,ild-47452
Acacia orites,Pedley,ild-49411
Acacia oshanesii,F.Muell. & Maiden,ild-32783
Acacia oswaldii,F.Muell.,ild-31526
Acacia oxycedrus,DC.,ild-31560
Acacia pachyacra,Maiden & Blakeley,ild-47823
Acacia pachycarpa,Benth.,ild-49231
Acacia papyrocarpa,Benth.,ild-48713
Acacia paradoxa,DC.,ild-31551
Acacia parramattensis,Tindale,ild-31564
Acacia parvipinnula,Tindale,ild-47443
Acacia pedleyi,Tindale & Kodela,ild-47448
Acacia pennatula,(Schltdl. & Cham.) Benth.,ild-19908
Acacia penninervis,DC.,ild-47473
