"Sample","sp","plant","treat","flower","diameter","height","complexity","sample_g","vaccum","vac_sec","vac_min","abun_comp","plant_g","vac_g_min","dens_g_min","plant_kg","plant_vol","sum","kg_min"
"ERPA10","ERPA",10,"C","N",1.21,1.01,25,12.456,"3:17",197,3.283333333,18,847.25,258.0456853,0.06975509,0.84725,1.16140046554051,1.7273,0.258045685305385
"ERPA11","ERPA",11,"T","Y",1.31,0.7,18,6.26,"2:39",159,2.65,8,508.35,191.8301887,0.041703551,0.50835,0.943475251744453,0.658,0.191830188679245
"ERPA12","ERPA",12,"T","N",0.87,0.88,11,9.333,"2:40",160,2.666666667,14,440.57,165.21375,0.08473871,0.44057,0.523131725490465,1.2872,0.165213749979348
"ERPA13","ERPA",13,"T","N",1.3,0.89,15,10.743,"3:44",242,4.033333333,25,948.92,235.2694215,0.106261153,0.94892,1.1813173775661,2.9393236883263,0.235269421507047
"ISME1","ISME",1,"T","N",0.64,0.93,17,6.356,"3:44",224,3.733333333,9,682.08,182.7,0.049261084,0.68208,0.299180151586663,7.67012329790522,0.182700000016313
"ISME2","ISME",2,"T","N",0.84,0.84,17,NA,"3:40",220,3.666666667,18,779.52,212.5963636,0.084667488,0.77952,0.465508633038321,9.20300825396718,0.212596363617037
"ISME3","ISME",3,"T","N",0.49,0.61,14,4.863,"2:08",128,2.133333333,10,876.96,411.075,0.024326461,0.87696,0.115030200409354,14.7134465958104,0.411075000064231
"ISME4","ISME",4,"T","N",0.58,1.04,15,10.228,"3:19",199,3.316666667,19,1071.84,323.1678392,0.058792979,1.07184,0.274776259853578,18.2398939724631,0.323167839163501
"ISME5","ISME",5,"T","N",0.71,1.11,14,5.367,"3:37",217,3.616666667,15,876.96,242.4774194,0.06186143,0.87696,0.439470327727206,13.4900229074841,0.242477419332491
"ISME6","ISME",6,"T","N",0.66,0.91,14,8.878,"3:18",198,3.3,29,584.64,177.1636364,0.163690476,0.58464,0.311328690378095,18.2209229860735,0.177163636363636
"ISME7","ISME",7,"T","N",0.64,0.82,21,9.677,"4:29",269,4.483333333,6,974.4,217.33829,0.027606732,0.9744,0.263793251936628,6.45635716778944,0.217338289978984
"ISME8","ISME",8,"T","N",0.77,0.8,11,7.682,"3:47",250,4.166666667,27,1364.16,327.3984,0.082468332,1.36416,0.372530056862678,23.3397316365682,0.327398399973808
"ISME9","ISME",9,"C","N",0.6,0.83,25,12.921,"3:05",185,3.083333333,25,1071.84,347.6237838,0.071916828,1.07184,0.234676971223158,19.2358891161893,0.347623783821365
"ISME10","ISME",10,"C","N",0.48,0.93,19,4.765,"2:30",150,2.5,20,974.4,389.76,0.051313629,0.9744,0.168288835267498,24.0865553248945,0.38976
"ISME11","ISME",11,"C","N",0.54,1.04,10,6.096,"3:20",200,3.333333333,33,974.4,292.32,0.112889984,0.9744,0.238182988624564,38.228573376105,0.292320000029232
"ISME12","ISME",12,"C","N",0.99,1.18,24,13.111,"2:34",180,3,35,1364.16,454.72,0.076970443,1.36416,0.90832711313609,17.4606127710168,0.45472
"ISME13","ISME",13,"C","Y",0.59,1.19,11,7.2,"2:55",175,2.916666667,25,1266.72,434.304,0.057563366,1.26672,0.325342549807596,25.8889790132208,0.434303999950365
"LUAL1","LUAL",1,"T","N",0.51,1.21,4,NA,"3:12",231,3.85,35,252.76,65.65194805,0.533114417,0.25276,0.247181295382608,11.0599421299578,0.065651948051948
"LUAL2","LUAL",2,"C","N",0.83,0.72,12,1.458,"2:11",131,2.183333333,27,505.52,231.5358779,0.116612597,0.50552,0.389563772230441,12.4596369274733,0.231535877897944
"LUAL3","LUAL",3,"C","N",0.64,0.59,5,3.564,"2:41",161,2.683333333,15,379.14,141.2944099,0.106161312,0.37914,0.189802461759281,3.71431623081034,0.14129440995544
"LUAL4","LUAL",4,"T","N",0.84,0.56,7,10.151,"2:42",162,2.7,5,505.52,187.2296296,0.026705175,0.50552,0.310339088692214,4.70120630896787,0.18722962962963
"LUAL5","LUAL",5,"C","N",0.58,0.6,5,9.867,"2:35",155,2.583333333,18,315.95,122.3032258,0.147175186,0.31595,0.158524765300141,1.08510867649477,0.122303225822233
"LUAL6","LUAL",6,"T","N",0.6,0.64,3,13.333,"2:46",166,2.766666667,15,379.14,137.0385542,0.109458248,0.37914,0.180955736846772,12.2779456672688,0.137038554200357
"LUAL7","LUAL",7,"T","N",0.8,0.68,4,NA,"3:02",211,3.516666667,39,631.9,179.6872038,0.217043836,0.6319,0.34180528071057,14.3638461611047,0.179687203774437
"LUAL8","LUAL",8,"C","N",0.85,0.78,9,13.862,"3:04",184,3.066666667,9,568.71,185.448913,0.048530886,0.56871,0.442611134982632,6.01814441124215,0.185448913023321
"LUAL9","LUAL",9,"C","N",0.91,0.77,5,13.353,"2:01",121,2.016666667,28,821.47,407.3404959,0.068738562,0.82147,0.500798928714259,8.46976642294277,0.40734049580044
"LUAL10","LUAL",10,"T","N",0.84,0.6,7,15.044,"3:03",183,3.05,9,505.52,165.7442623,0.054300522,0.50552,0.332506166455944,3.5850473766526,0.165744262295082
"LUAL11","LUAL",11,"T","N",0.98,0.53,5,13.517,"3:09",189,3.15,41,505.52,160.4825397,0.255479506,0.50552,0.399777089947262,42.0175884760626,0.16048253968254
"LUAL12","LUAL",12,"T","N",0.81,0.7,11,5.041,"2:31",151,2.516666667,51,758.28,301.3033113,0.169264652,0.75828,0.360709814503546,14.9766413416169,0.30130331121837
"LUAL13","LUAL",13,"T","N",0.8,0.71,10,5.249,"2:18",138,2.3,36,631.9,274.7391304,0.131033391,0.6319,0.356884925447801,9.31708647420219,0.274739130434783
"SAAP1","SAAP",1,"T","Y",0.98,1.24,12,NA,"2:47",167,2.783333333,37,1433.7,515.1017964,0.071830462,1.4337,0.935327531197367,33.1140192207001,0.515101796468874
"SAAP2","SAAP",2,"C","N",0.82,0.9,14,NA,"2:51",171,2.85,38,764.64,268.2947368,0.141635279,0.76464,0.4752915525616,12.5246373331958,0.268294736842105
"SAAP3","SAAP",3,"T","Y",1.09,0.77,13,NA,"2:18",138,2.3,51,1146.96,498.6782609,0.102270349,1.14696,0.718511299608032,35.8259877510677,0.498678260869565
"SAAP4","SAAP",4,"C","Y",1.01,1.42,17,NA,"4:31",271,4.516666667,37,1624.86,359.7476015,0.102849887,1.62486,1.13768222640407,15.5793298638001,0.359747601449465
"SAAP5","SAAP",5,"T","N",1.04,0.78,9,NA,"2:39",159,2.65,19,716.85,270.509434,0.070237846,0.71685,0.662599589753931,6.1019573354269,0.270509433962264
"SAAP6","SAAP",6,"C","N",1.11,0.54,11,7.58,"2:34",154,2.566666667,31,1146.96,446.8675325,0.069371789,1.14696,0.522552101645878,5.76521840813263,0.446867532409498
"SAAP7","SAAP",7,"T","Y",0.91,0.78,8,NA,"2:40",160,2.666666667,33,860.22,322.5825,0.102299412,0.86022,0.507302810905353,16.9853176272905,0.322582499959677
"SAAP8","SAAP",8,"C","N",0.83,0.92,6,7.555,"3:13",193,3.216666667,6,573.48,178.2839378,0.033654181,0.57348,0.497775931183342,1.8670236883263,0.178283937805359
"SAAP9","SAAP",9,"T","N",0.87,0.8,7,3.5,"2:33",153,2.55,22,955.8,374.8235294,0.058694288,0.9558,0.475574295900423,13.7149062162207,0.374823529411765
"SAAP10","SAAP",10,"T","N",1.21,0.67,13,NA,"2:45",165,2.75,73,1529.28,556.1018182,0.131270925,1.52928,0.770433972190237,17.4299732678941,0.556101818181818
"SAAP11","SAAP",11,"T","N",1.02,0.72,10,NA,"2:32",152,2.533333333,46,1146.96,452.7473684,0.101601916,1.14696,0.588332339423068,24.4511922262842,0.452747368480625
"SAAP12","SAAP",12,"C","N",0.85,0.9,8,1.286,"2:20",140,2.333333333,21,860.22,368.6657143,0.056962172,0.86022,0.510705155749191,9.47240532066323,0.368665714338381
"SAAP14","SAAP",14,"C","N",1.13,0,8,NA,"2:19",139,2.316666667,43,1146.96,NA,NA,1.14696,0,NA,0.495090647410778
"SAAP15","SAAP",15,"T","Y",1.07,0.65,7,16.134,"4:15",255,4.25,38,764.64,179.9152941,0.211210504,0.76464,0.58448153222793,26.2418887257683,0.179915294117647
"SAME1","SAME",1,"T","N",0.8,0.82,5,NA,"3:20",200,3.333333333,12,376.5,112.95,0.1062417,0.3765,0.412176956150981,5.15459589394737,0.112950000011295
"SAME2","SAME",2,"C","N",1.19,1.14,6,13.579,"3:31",211,3.516666667,10,627.5,178.436019,0.056042497,0.6275,1.26791066667332,0.982490901733912,0.178436018940433
"SAME3","SAME",3,"T","N",0.94,0.64,4,15.858,"4:17",257,4.283333333,13,502,117.1984436,0.110922975,0.502,0.444145802993911,7.40361054135793,0.117198443588887
"SAME4","SAME",4,"C","Y",1.61,1.55,4,14.051,"4:00",240,4,29,690.25,172.5625,0.168055053,0.69025,3.15553739798092,NA,0.1725625
"SAME5","SAME",5,"T","N",0.74,0.78,5,15.351,"3:09",189,3.15,23,313.75,99.6031746,0.230916335,0.31375,0.335465546735625,2.09432585956669,0.0996031746031746
"SAME6","SAME",6,"C","Y",0.94,1.55,4,9.333,"3:30",210,3.5,16,439.25,125.5,0.12749004,0.43925,1.07566561662588,11.1294908204886,0.1255
"SAME7","SAME",7,"T","N",0.55,0.8,8,22.3,"3:15",195,3.25,14,439.25,135.1538462,0.103585657,0.43925,0.190066355542183,4.37105605314737,0.135153846153846
"SAME8","SAME",8,"T","N",0.74,0.79,6,9.281,"2:57",177,2.95,12,376.5,127.6271186,0.094023904,0.3765,0.33976638707839,NA,0.127627118644068
"SAME9","SAME",9,"C","N",1.17,1.7,6,5.949,"3:58",238,3.966666667,9,439.25,110.7352941,0.0812749,0.43925,1.8277236279871,7.20876105965471,0.110735294108342
"SAME10","SAME",10,"T","Y",1.31,0.9,4,7.119,"3:41",221,3.683333333,12,502,136.2895928,0.088047809,0.502,1.21303960938573,7.3907594634518,0.136289592772515
"SAME11","SAME",11,"C","Y",1.64,1.88,8,8.657,"4:03",243,4.05,13,753,185.9259259,0.069920319,0.753,3.9713249725147,7.63339215206296,0.185925925925926
"SAME12","SAME",12,"T","N",0.85,0.74,7,10.121,"4:07",269,4.483333333,21,502,111.9702602,0.187549801,0.502,0.419913128060446,4.26702418596396,0.111970260231373
"SAME14","SAME",14,"T","N",0.67,1.32,14,NA,"3:01",181,3.016666667,19,376.5,124.8066298,0.152235502,0.3765,0.465386110924831,9.87812379554288,0.124806629820463
