"Sample","sp","Order","value","feed","ID","size"
"ERFA4","ERFA","HEMI",4,"pred","11","S"
"ERFA6","ERFA","HEMI",1,"pred","11","L"
"ERFA6","ERFA","HEMI",9,"pred","11","S"
"ERFA7","ERFA","HEMI",2,"pred","11","S"
"ERPA10","ERPA","HEMI",1,"pred","11","S"
"ERPA12","ERPA","HEMI",2,"pred","11","S"
"LUAL14","LUAL","HEMI",1,"pred","11","L"
"LUAL2","LUAL","HEMI",1,"pred","11","L"
"LUAL2","LUAL","HEMI",4,"pred","11","S"
"LUAL3","LUAL","HEMI",2,"pred","11","L"
"LUAL3","LUAL","HEMI",1,"pred","11","S"
"LUAL4","LUAL","HEMI",1,"pred","11","L"
"LUAL6.2","LUAL","HEMI",2,"pred","11","L"
"SAAP15","SAAP","HEMI",1,"pred","11","S"
"SAME12","SAME","HEMI",8,"pred","11","S"
"SAME4","SAME","HEMI",18,"pred","11","L"
"SAME5","SAME","HEMI",1,"pred","11","S"
"ENCA6","ENCA","COLE",1,"herb","8","S"
"LUAL11","LUAL","COLE",1,"herb","8","L"
"ERPA7","ERPA","LEPI",1,"herb","14","S"
"SAAP3","SAAP","LEPI",1,"herb","14","L"
"ARCA6","ARCA","LEPID",1,"herb","14","L"
"ENCA7","ENCA","LEPID",1,"herb","14","S"
"ENCA1","ENCA","COLE",1,"omni","15","L"
"ENCA8","ENCA","COLE",1,"omni","15","L"
"ENCA8","ENCA","COLE",1,"omni","15","S"
"SAAP3","SAAP","COLE",3,"omni","15","S"
"SAAP5","SAAP","COLE",4,"omni","15","L"
"SAAP5","SAAP","COLE",5,"omni","15","S"
"SAAP6","SAAP","COLE",1,"omni","15","L"
"ARDO10","ARDO","HEMI",1,"omni","15","L"
"ENCA5","ENCA","HEMI",1,"omni","15","S"
"ERFA10","ERFA","HEMI",10,"omni","15","S"
"ERFA11","ERFA","HEMI",1,"omni","15","L"
"ERFA11","ERFA","HEMI",14,"omni","15","S"
"ERFA13","ERFA","HEMI",1,"omni","15","S"
"ERFA2","ERFA","HEMI",6,"omni","15","L"
"ERFA2","ERFA","HEMI",26,"omni","15","S"
"ERFA3","ERFA","HEMI",1,"omni","15","L"
"ERFA4","ERFA","HEMI",2,"omni","15","L"
"ERFA4","ERFA","HEMI",1,"omni","15","S"
"ERFA5","ERFA","HEMI",2,"omni","15","L"
"ERFA5","ERFA","HEMI",9,"omni","15","S"
"ERFA7","ERFA","HEMI",10,"omni","15","S"
"ERFA9","ERFA","HEMI",6,"omni","15","L"
"ERFA9","ERFA","HEMI",5,"omni","15","S"
"ERPA1","ERPA","HEMI",1,"omni","15","S"
"ERPA12","ERPA","HEMI",1,"omni","15","S"
"ERPA3.1","ERPA","HEMI",1,"omni","15","L"
"ERPA7","ERPA","HEMI",3,"omni","15","L"
"ERPA7","ERPA","HEMI",7,"omni","15","S"
"LUAL11","LUAL","HEMI",4,"omni","15","L"
"LUAL12","LUAL","HEMI",3,"omni","15","S"
"LUAL14","LUAL","HEMI",1,"omni","15","S"
"LUAL2","LUAL","HEMI",2,"omni","15","S"
"LUAL6.2","LUAL","HEMI",3,"omni","15","L"
"LUAL6.2","LUAL","HEMI",1,"omni","15","S"
"SAME10","SAME","HEMI",3,"omni","15","L"
"SAME11","SAME","HEMI",2,"omni","15","L"
"SAME11","SAME","HEMI",1,"omni","15","S"
"SAME3","SAME","HEMI",1,"omni","15","S"
"ARCA11.2","ARCA","HEMI",1,"herb","20","S"
"ARCA14","ARCA","HEMI",1,"herb","20","L"
"ARCA14","ARCA","HEMI",2,"herb","20","S"
"ARCA5","ARCA","HEMI",1,"herb","20","S"
"ARCA6","ARCA","HEMI",1,"herb","20","L"
"ARDO6","ARDO","HEMI",1,"herb","20","S"
"ARDO7","ARDO","HEMI",1,"herb","20","L"
"ARDO7","ARDO","HEMI",1,"herb","20","S"
"ENCA5","ENCA","HEMI",1,"herb","20","S"
"ENCA6","ENCA","HEMI",1,"herb","20","S"
"ERFA12","ERFA","HEMI",1,"herb","20","L"
"ERFA13","ERFA","HEMI",5,"herb","20","S"
"ERFA4","ERFA","HEMI",1,"herb","20","S"
"ERFA6","ERFA","HEMI",3,"herb","20","L"
"ERFA6","ERFA","HEMI",3,"herb","20","S"
"ERPA3.1","ERPA","HEMI",1,"herb","20","S"
"ISME5","ISME","HEMI",1,"herb","20","S"
"ISME6","ISME","HEMI",2,"herb","20","S"
"LUAL10","LUAL","HEMI",1,"herb","20","S"
