Sample,sp,plant,treat,sample_g,plant_wt,vaccum,abun
ISME3,ISME,3,T,4.863,876.96,2:08,7
ISME4,ISME,4,T,10.228,1071.84,3:19,16
ISME5,ISME,5,T,5.367,876.96,3:37,14
ISME6,ISME,6,T,8.878,584.64,3:18,13
ISME7,ISME,7,T,9.677,1169.28,4:29,5
ISME8,ISME,8,T,7.682,682.08,4:10,24
ISME9,ISME,9,C,12.921,1071.84,3:05,15
ISME10,ISME,10,C,4.765,779.52,2:30,16
ISME11,ISME,11,C,6.096,974.4,3:20,15
ISME12,ISME,12,C,13.111,1364.16,3:00,26
ISME13,ISME,13,C,7.2,779.52,2:55,15
LUAL1,LUAL,1,T,NA,252.76,3:51,35
LUAL2,LUAL,2,C,1.458,505.52,2:11,33
LUAL3,LUAL,3,C,3.564,379.14,2:41,20
LUAL4,LUAL,4,T,10.151,505.52,2:42,6
LUAL5,LUAL,5,C,9.867,315.95,2:35,20
LUAL6,LUAL,6,T,13.333,379.14,2:46,23
LUAL7,LUAL,7,T,NA,631.9,3:31,39
LUAL8,LUAL,8,C,13.862,568.71,3:04,9
LUAL9,LUAL,9,C,13.353,821.47,2:01,33
LUAL10,LUAL,10,T,15.044,505.52,3:03,15
LUAL11,LUAL,11,T,13.517,505.52,3:09,42
LUAL12,LUAL,12,T,5.041,758.28,2:31,41
LUAL13,LUAL,13,T,5.249,631.9,2:18,38
SAAP1,SAAP,1,T,NA,1433.7,2:47,34
SAAP2,SAAP,2,C,NA,764.64,2:51,32
SAAP3,SAAP,3,T,NA,1146.96,2:18,46
SAAP4,SAAP,4,C,NA,1624.86,4:31,31
SAAP5,SAAP,5,T,NA,716.85,2:39,19
SAAP6,SAAP,6,C,7.58,1146.96,2:34,32
SAAP7,SAAP,7,T,NA,860.22,2:40,22
SAAP8,SAAP,8,C,7.555,573.48,3:13,5
SAAP9,SAAP,9,T,3.5,955.8,2:33,12
SAAP10,SAAP,10,T,NA,1529.28,2:45,70
SAAP11,SAAP,11,T,NA,1146.96,2:32,48
SAAP12,SAAP,12,C,1.286,860.22,2:20,16
SAAP14,SAAP,14,C,NA,1433.7,2:19,55
SAAP15,SAAP,15,T,16.134,764.64,4:15,37
SAME1,SAME,1,T,NA,376.5,3:20,38
SAME2,SAME,2,C,13.579,627.5,3:31,7
SAME3,SAME,3,T,15.858,502,4:17,24
SAME4,SAME,4,C,14.051,690.25,4:00,43
SAME5,SAME,5,T,15.351,313.75,3:09,25
SAME6,SAME,6,C,9.333,439.25,3:30,9
SAME7,SAME,7,T,22.3,439.25,3:15,8
SAME8,SAME,8,T,9.281,376.5,2:57,3
SAME9,SAME,9,C,5.949,439.25,3:58,5
SAME10,SAME,10,T,7.119,502,3:41,12
SAME11,SAME,11,C,8.657,753,4:03,13
SAME12,SAME,12,T,10.121,502,4:29,25
SAME14,SAME,14,T,NA,376.5,3:01,19
