"species","Sample","treat","pred_abun","pred_mg","herb_abun","herb_mg","omni_abun","omni_mg","total_abun","total_mg","plant","sample_g","plant_wt","vaccum","abun","vac_sec","vac_min"
"ENCA","ENCA1","T",0.00731895367182401,0.00986102309666301,0.0131440280031658,0.0102010854776804,0,0,0.014056582325413,0.0129288812986501,1,NA,219.9,"2:58",8,178,2.96666666666667
"ENCA","ENCA10","C",0,0,0.00276533388622003,0.00108604419764879,0,0,0.00276533388622003,0.00108604419764879,10,22.222,703.68,"3:42",8,222,3.7
"ENCA","ENCA11","C",0.00131337574003324,0.000903047539197404,0.00536837453398555,0.00369929390943943,0,0,0.00547667833465243,0.00385677939061712,11,11.491,527.76,"4:26",7,266,4.43333333333333
"ENCA","ENCA12","T",0.00525350296013298,0.00956347244036318,0.0102624306544725,0.00675560345621531,0,0,0.0109533566693049,0.0108290704710018,12,5.308,263.88,"2:30",7,150,2.5
"ENCA","ENCA14","T",0,0,0.0118203816602992,0.00631149256597888,0,0,0.0118203816602992,0.00631149256597888,14,9.761,175.92,"2:40",7,160,2.66666666666667
"ENCA","ENCA2","C",0.00254627027800713,0.00231021007835962,0.00364505081494648,0.00213290516823168,1,0.653516130647452,0.00418434370618241,0.00315693235768996,2,6.545,703.68,"4:28",10,268,4.46666666666667
"ENCA","ENCA3","T",0.00112575063431421,0.00218954249657945,0.0047821070927799,0.0041687112464201,3,0.1023,0.00509240274139081,0.00450057696375241,3,NA,615.72,"4:00",14,240,4
"ENCA","ENCA4","C",0.00225150126862842,0.00202413273580647,0.00572721452058754,0.00458838832393006,0,0,0.00586454543078709,0.00481100841028641,4,11.47,615.72,"3:38",32,218,3.63333333333333
"ENCA","ENCA5","C",0.00315210177607979,0.00274522809133731,0.00702829116270649,0.00544270267407044,0,0,0.00731895367182401,0.00588371188956987,5,4.747,439.8,"2:58",26,178,2.96666666666667
"ENCA","ENCA6","T",0.00262675148006649,0.00467070113299019,0.00513121532723626,0.00334919573429672,0,0,0.00547667833465243,0.00532556290610242,6,17.766,527.76,"4:45",11,285,4.75
"ENCA","ENCA7","C",0.00166532103784767,0.00213414067285487,0.00454105240799453,0.00431913539945407,0,0,0.00468552744180433,0.00456836274684119,7,17.998,659.7,"3:15",16,195,3.25
"ENCA","ENCA8","T",0.00175116765337766,0.00254049263828897,0.00378421033999544,0.0039556416536979,4,4.68497899582589,0.00416330259461918,0.00445687436246785,8,NA,791.64,"4:44",36,284,4.73333333333333
"ENCA","ENCA9","T",0.00245807456552892,0.00265141111896755,0.00390460620150361,0.00426661139747338,2,0.0682,0.00429639404484634,0.00454505588323913,9,NA,791.64,"4:44",36,284,4.73333333333333
"ERFA","ERFA1","C",0.00194585856757667,0.00320463586634657,0.00583757570273,0.00378855273215459,2,7.02701496255823,0.0060822671398451,0.00536044676489458,1,23.456,564.59,"3:26",30,206,3.43333333333333
"ERFA","ERFA10","T",0.00481984613274035,0.0057629024825256,0.00665240581572844,0.00490500850267599,1,0.653516130647452,0.00738149273567949,0.00680055251320934,10,4.186,477.73,"2:43",36,163,2.71666666666667
"ERFA","ERFA11","T",0.00247054710635367,0.00281107211963475,0.00443682824145547,0.00270425510854936,10,0.341,0.0053200336216129,0.00373637073362638,11,18.28,651.45,"2:51",26,171,2.85
"ERFA","ERFA12","T",0.00298704451462939,0.00228590430371027,0.00505923227569933,0.0032297874230478,2,0.321158637940789,0.00545759162098306,0.00380849825815163,12,10.856,651.45,"2:44",23,164,2.73333333333333
"ERFA","ERFA13","T",0.00589375174904791,0.00563947367987622,0.00912005763705069,0.00538026815904129,0,0,0.0100145470139911,0.00746926321663374,13,5.252,304.01,"2:13",16,133,2.21666666666667
"ERFA","ERFA2","T",0.00361373733978524,0.0042444301748336,0.00408688307915529,0.00230485371458479,26,0.8866,0.00629690042513255,0.00467455244664326,2,22.282,608.02,"3:38",43,218,3.63333333333333
"ERFA","ERFA3","T",0,0,0.00566857890670925,0.00200727945220764,3,0.974674768588241,0.00605022032925746,0.00267173371272708,3,20.992,477.73,"2:30",17,150,2.5
"ERFA","ERFA4","C",0.00448056677194408,0.00238671941083083,0.00689784083249825,0.0043987521086202,3,0.236923222685379,0.00775338666817056,0.00501063668546197,4,17.533,434.3,"2:00",25,120,2
