"Sample","sp","plant","treat","flower","diameter","height","complexity","sample_g","vaccum","total_abun","plant_g","plant_kg","plant_vol","arth_mg","vac_min","kg_min","mean_kg_min","kg_vac","abun_kg","mg_kg","group"
"LUAL8","LUAL",8,"C","N",0.85,0.78,9,13.862,"2:52",9,568.71,0.56871,0.442611135,6.018144411,2.86666666666667,0.198387209302326,0.195798281157502,0.56128840598484,16.0345375105487,10.6515980538131,"control"
"LUAL9","LUAL",9,"C","N",0.91,0.77,5,13.353,"2:33",28,821.47,0.82147,0.500798929,8.469766423,2.55,0.322145098039216,0.195798281157502,0.499285616951631,56.0801253818464,12.8256375582163,"control"
"SAAP2","SAAP",2,"C","N",0.82,0.9,14,NA,"2:51",38,764.64,0.76464,0.475291553,12.52463733,2.85,0.268294736842105,0.377672155124894,1.07636564210595,35.3039882670833,13.6062997782809,"control"
"SAAP4","SAAP",4,"C","Y",1.01,1.42,17,NA,"4:31",37,1624.86,1.62486,1.137682226,15.57932986,4.51666666666667,0.359747601476015,0.377672155124894,1.70581923398077,21.6904577360494,9.35504668300337,"control"
"SAAP6","SAAP",6,"C","N",1.11,0.54,11,7.58,"2:34",31,1146.96,1.14696,0.522552102,5.765218408,2.56666666666667,0.446867532467532,0.377672155124894,0.969358531487227,31.9799114497281,5.44834657186367,"control"
"SAAP8","SAAP",8,"C","N",0.83,0.92,6,7.555,"3:13",6,573.48,0.57348,0.497775931,1.867023688,3.21666666666667,0.178283937823834,0.377672155124894,1.21484543231841,4.93889991301166,2.08801334953847,"control"
"SAAP12","SAAP",12,"C","N",0.85,0.9,8,1.286,"2:20",21,860.22,0.86022,0.510705156,9.472405321,2.33333333333333,0.368665714285714,0.377672155124894,0.881235028624752,23.8301920802813,10.8787251640721,"control"
"SAAP14","SAAP",14,"C","N",1.13,0,8,NA,"2:19",43,1146.96,1.14696,0,NA,2.31666666666667,0.495090647482014,0.377672155124894,0.874940492706004,49.1461994941052,NA,"control"
"SAME2","SAME",2,"C","N",1.19,1.14,6,13.579,"3:31",10,627.5,0.6275,1.267910667,0.982490902,3.51666666666667,0.178436018957346,0.138480438825143,0.486989543201752,20.5343218136763,1.7631226923448,"control"
"SAME6","SAME",6,"C","Y",0.94,1.55,4,9.333,"3:30",16,439.25,0.43925,1.075665617,11.12949082,3.5,0.1255,0.138480438825143,0.484681535887999,33.0113668776054,24.0915920448658,"control"
"SAME7","SAME",7,"C","N",0.55,0.8,8,22.3,"3:15",14,439.25,0.43925,0.190066356,4.371056053,3.25,0.135153846153846,0.138480438825143,0.450061426181714,31.1068649423589,9.83020328832896,"control"
"SAME8","SAME",8,"C","N",0.74,0.79,6,9.281,"2:57",12,376.5,0.3765,0.339766387,5.57506214,2.95,0.127627118644068,0.138480438825143,0.408517294534171,29.3745213741404,14.2036670499297,"control"
"SAME11","SAME",11,"C","Y",1.64,1.88,8,8.657,"4:03",13,753,0.753,3.971324973,7.633392152,4.05,0.185925925925926,0.138480438825143,0.560845777241828,23.179277668689,11.6199211265494,"control"
