"Sample","sp","plant","treat","treatw","herb","omni","pred","herb_om","flower","diameter","height","complexity","sample_g","vaccum","total_abun","plant_g","plant_kg","plant_vol","arth_mg","vac_min","kg_min","mean_kg_min","kg_vac","abun_kg","mg_kg","herb_kg","ho_kg","pred_kg","po_kg"
"ERFA11","ERFA",11,"T","T",1.472771031,11.56744034,4.982405387,13.04021137,"Y",1.14,0.71,20,18.28,"2:51",31,651.45,0.65145,0.724699452,18.02261676,2.85,0.228578947368421,0.187846157959359,0.535361550184173,57.9047934789779,30.3714886448538,2.48189534517329,21.9752013164624,8.3962873233359,27.8895932963102
"ERFA12","ERFA",12,"T","T",3.851847377,0,9.873410775,3.851847377,"Y",1.2,0.8,14,10.856,"2:44",26,651.45,0.65145,0.904778684,13.72525815,2.73333333333333,0.238335365853659,0.187846157959359,0.513446165088915,50.6382202611203,23.5647752329108,6.61320294878985,6.61320294878985,16.9515722875547,16.9515722875547
"ERFA13","ERFA",13,"C","T",2.163697316,0.0341,0.6996,2.197797316,"Y",1.09,0.77,14,5.252,"2:26",20,477.73,0.47773,0.7185113,2.897397316,2.43333333333333,0.196327397260274,0.187846157959359,0.457092317701107,43.754837317301,6.19881930744917,4.62910924360666,4.70206428405512,1.49675502339405,1.5697100638425
"ERFA2","ERFA",2,"T","T",1.716023688,8.001162712,6.226104466,9.717186401,"Y",1.27,0.85,16,22.282,"3:38",46,608.02,0.60802,1.076753393,15.94329087,3.63333333333333,0.16734495412844,0.187846157959359,0.682507707252338,67.3985062896774,24.7081729131486,2.65941394106692,15.0592449063939,9.64892800210543,22.0487589658827
"ERFA3","ERFA",3,"T","T",1.647823688,0.0341,2.900385085,1.681923688,"Y",1.19,0.55,24,20.992,"2:30",27,477.73,0.47773,0.611711287,4.582308773,2.5,0.191092,0.187846157959359,0.469615394898398,57.4938562349335,9.67399809547066,3.4788234510323,3.55081408968138,6.12318400578928,6.19517464443836
"ERFA4","ERFA",4,"T","C",3.516809791,1.484292542,10.92764363,5.001102334,"Y",1.24,0.57,25,17.533,"3:56",31,434.3,0.4343,0.688348083,15.92874596,3.93333333333333,0.110415254237288,0.187846157959359,0.738861554640146,41.9564393428187,27.1552471132349,5.9954398899114,8.52585445579834,18.6293926642558,21.1598072284379
"ERFA5","ERFA",5,"T","C",1.907623688,8.667055255,1.496853703,10.57467894,"Y",0.99,0.63,16,10.943,"3:38",25,477.73,0.47773,0.484954306,12.07153265,3.63333333333333,0.131485321100917,0.187846157959359,0.682507707252338,36.6296229835203,20.8087232030886,3.28833251337368,18.2284696901342,2.5802535008879,17.5203906828197
"ERFA6","ERFA",6,"C","T",6.640803796,0,17.73390033,6.640803796,"Y",1.3,0.71,18,27.674,"4:09",36,390.87,0.39087,0.942399256,24.37470412,4.15,0.0941855421686747,0.187846157959359,0.77956155553134,46.1798042047659,41.6507979553484,11.3476157825996,11.3476157825996,30.3031821830015,30.3031821830015
"ERFA7","ERFA",7,"C","C",0.582,8.632955255,1.867792542,9.214955255,"Y",1.56,0.87,35,10.366,"4:25",30,825.17,0.82517,1.662870124,11.0827478,4.41666666666667,0.186830943396226,0.187846157959359,0.829653864320503,36.1596580093921,13.394474226477,0.703398122964559,11.1370828686759,2.25739135417526,12.6910760998867
"ERFA8","ERFA",8,"T","T",5.744915481,0,0.1636,5.744915481,"Y",1.51,0.66,30,14.982,"3:21",28,1042.32,1.04232,1.181918993,5.908515481,3.35,0.311140298507463,0.187846157959359,0.629284629163853,44.4949688938125,7.06927389158461,6.8735338258469,6.8735338258469,0.195740065737714,0.195740065737714
"ERFA9","ERFA",9,"C","C",1.118617353,5.90307017,10.17441077,7.021687523,"Y",1.6,0.79,24,25.013,"4:32",30,825.17,0.82517,1.588389246,17.1960983,4.53333333333333,0.182022794117647,0.187846157959359,0.851569249415761,35.2290785753269,20.5113565582624,1.33427705397815,8.37540783451764,12.1359487153952,19.1770794959347
"ERPA1","ERPA",1,"T","T",2.64159472,0.0341,0.1636,2.67569472,"Y",1.14,1.12,30,9.669,"2:58",6,542.24,0.54224,1.143187868,2.83929472,2.96666666666667,0.182777528089888,0.249828130350752,0.741156786707232,8.09545309118256,4.42465611478533,4.11656745187504,4.16970768154242,0.254948433242915,0.308088662910295
"ERPA10","ERPA",10,"C","C",0.548,0,1.1793,0.548,"N",1.21,1.01,25,12.456,"3:17",18,847.25,0.84725,1.161400466,1.7273,3.28333333333333,0.258045685279188,0.249828130350752,0.820269027984971,21.9440200542715,2.07170049757965,0.65726386422373,0.65726386422373,1.41443663335592,1.41443663335592
"ERPA11","ERPA",11,"T","T",0.069,0,0.589,0.069,"Y",1.31,0.7,18,6.26,"2:39",8,508.35,0.50835,0.943475252,0.658,2.65,0.191830188679245,0.249828130350752,0.662044545429494,12.0837790375723,1.12440715409954,0.117908956888857,0.117908956888857,1.00649819721068,1.00649819721068
"ERPA12","ERPA",12,"T","T",0.2033,0.0341,1.0498,0.2374,"N",0.87,0.88,11,9.333,"2:40",14,440.57,0.44057,0.523131725,1.2872,2.66666666666667,0.16521375,0.249828130350752,0.666208347602007,21.0144469825281,2.3260303253834,0.367372564597922,0.42899285211779,1.89703747326561,1.95865776078548
"ERPA13","ERPA",13,"T","T",2.671323688,0,0.268,2.671323688,"N",1.3,0.89,15,10.743,"2:27",25,948.92,0.94892,1.181317378,2.939323688,2.45,0.387314285714286,0.249828130350752,0.612078919359344,40.8444061856717,3.76595223936009,3.42258236680439,3.42258236680439,0.343369872555698,0.343369872555698
"ERPA2","ERPA",2,"C","C",0.2841,0,0,0.2841,"Y",1.22,1.03,18,NA,"3:33",6,610.02,0.61002,1.204056225,0.2841,3.55,0.17183661971831,0.249828130350752,0.886889862745171,6.76521432033097,0.379581973598586,0.379581973598586,0.379581973598586,0,0
"ERPA3","ERPA",3,"T","T",11.38776582,0,9.722311696,11.38776582,"Y",1,0.85,25,9.576,"2:28",19,542.24,0.54224,0.667588439,21.11007751,2.46666666666667,0.219827027027027,0.249828130350752,0.616242721531856,30.8320071558327,36.4443545296666,19.6597939845698,19.6597939845698,16.7845605554552,16.7845605554552
"ERPA4","ERPA",4,"C","C",8.19202406,0,5.549304466,8.19202406,"N",1.3,0.8,30,23.779,"3:29",19,847.25,0.84725,1.061858317,13.74132853,3.48333333333333,0.24322966507177,0.249828130350752,0.870234654055121,21.833191670159,16.001690026814,9.53956012434576,9.53956012434576,6.46212989781031,6.46212989781031
"ERPA5","ERPA",5,"T","T",0.4844,1.416092542,12.82326485,1.900492542,"Y",1.18,0.72,31,36.256,"2:30",23,813.36,0.81336,0.78738365,14.72375739,2.5,0.325344,0.249828130350752,0.624570325876881,36.8253166170016,20.4790971092721,0.673746135376347,2.64337222436844,17.8357248876855,19.8053509766776
"ERPA6","ERPA",6,"C","C",0.4384,0,0.164,0.4384,"N",1,0.96,22,NA,"1:20",12,305.01,0.30501,0.753982237,0.6024,1.33333333333333,0.2287575,0.249828130350752,0.333104173801003,36.0247662557624,1.88806337402516,1.374048776847,1.374048776847,0.514014597178165,0.514014597178165
"ERPA7","ERPA",7,"T","T",0.121,0.341,8.34125762,0.462,"Y",1.47,0.91,20,13.662,"3:21",25,1152.26,1.15226,1.544421871,8.80325762,3.35,0.343958208955224,0.249828130350752,0.836924236675021,29.8712821357897,8.85112344818789,0.12165791158918,0.464512026067778,8.38661142212011,8.72946553659871
"ERPA8","ERPA",8,"C","C",11.86716582,0,2.873953154,11.86716582,"Y",1.63,0.99,90,9.854,"3:04",29,982.81,0.98281,2.065857137,14.74111897,3.06666666666667,0.32048152173913,0.249828130350752,0.766139599742308,37.8521094716344,16.8571112308462,13.5706206991311,13.5706206991311,3.28649053628927,3.28649053628927
"ERPA9","ERPA",9,"T","T",0.123,0,0,0.123,"Y",0.96,1.14,16,16.545,"2:55",3,610.02,0.61002,0.82515816,0.123,2.91666666666667,0.209149714285714,0.249828130350752,0.728665380189695,4.1171161435157,0.18376237138344,0.18376237138344,0.18376237138344,0,0
"ISME1","ISME",1,"T","T",4.943471065,0,2.726652233,4.943471065,"N",0.64,0.93,17,6.356,"3:44",9,682.08,0.68208,0.299180152,7.670123298,3.73333333333333,0.1827,0.317122166653728,1.18392275550725,7.60184729800547,8.2209131528479,5.29846062703822,5.29846062703822,2.92245252580968,2.92245252580968
"ISME10","ISME",10,"C","C",24.01835532,0,0.0682,24.01835532,"N",0.48,0.93,19,4.765,"2:30",20,974.4,0.9744,0.168288835,24.08655532,2.5,0.38976,0.317122166653728,0.792805416634321,25.2268710333811,27.2594856186819,27.1823016089929,27.1823016089929,0.0771840096890245,0.0771840096890245
"ISME11","ISME",11,"C","C",35.54712114,0,2.681452233,35.54712114,"N",0.54,1.04,10,6.096,"3:20",33,974.4,0.9744,0.238182989,38.22857338,3.33333333333333,0.29232,0.317122166653728,1.05707388884576,31.2182529038091,37.6362931267806,34.9963849746522,34.9963849746522,2.6399081452369,2.6399081452369
"ISME12","ISME",12,"C","C",14.73606054,0.0341,2.690452233,14.77016054,"N",0.99,1.18,24,13.111,"2:34",35,1364.16,1.36416,0.908327113,17.46061277,2.56666666666667,0.531490909090909,0.317122166653728,0.813946894411236,43.0003483523542,16.0328336637672,13.5310719394085,13.5623835339748,2.4704501325471,2.50176172711346
"ISME13","ISME",13,"C","C",25.88897901,0,0,25.88897901,"Y",0.59,1.19,11,7.2,"2:55",25,1266.72,1.26672,0.32534255,25.88897901,2.91666666666667,0.434304,0.317122166653728,0.924939652740041,27.0287903929083,23.6249994178004,23.6249994178004,23.6249994178004,0,0
"ISME2","ISME",2,"T","T",6.022752868,0.192703153,2.994652233,6.215456021,"N",0.84,0.84,17,NA,"3:40",18,779.52,0.77952,0.465508633,9.203008254,3.66666666666667,0.212596363636364,0.317122166653728,1.16278127773034,15.4801254068475,9.47639623112858,6.20166699888891,6.40009466323682,3.08361248312556,3.28204014747348
"ISME3","ISME",3,"T","T",9.67774213,0,5.035704466,9.67774213,"N",0.49,0.61,14,4.863,"2:08",10,876.96,0.87696,0.1150302,14.7134466,2.13333333333333,0.411075,0.317122166653728,0.676527288861287,14.7813697461217,18.9424744000127,12.4593772982769,12.4593772982769,6.48309709658609,6.48309709658609
"ISME4","ISME",4,"T","T",13.09978951,0,5.140104466,13.09978951,"N",0.58,1.04,15,10.228,"3:19",19,1071.84,1.07184,0.27477626,18.23989397,3.31666666666667,0.32316783919598,0.317122166653728,1.05178851940153,18.0644679510392,17.1780457865957,12.3371761024303,12.3371761024303,4.84086968981614,4.84086968981614
"ISME5","ISME",5,"T","T",8.349918442,0,5.140104466,8.349918442,"N",0.71,1.11,14,5.367,"3:37",15,876.96,0.87696,0.439470328,13.49002291,3.61666666666667,0.242477419354839,0.317122166653728,1.14692516939765,13.0784469643105,13.3308184811838,8.25137568895285,8.25137568895285,5.07944279025455,5.07944279025455
"ISME6","ISME",6,"T","T",18.22092299,0,0,18.22092299,"N",0.66,0.91,14,8.878,"3:18",29,584.64,0.58464,0.31132869,18.22092299,3.3,0.177163636363636,0.317122166653728,1.0465031499573,27.7113356048505,22.3412923512899,22.3412923512899,22.3412923512899,0,0
"ISME7","ISME",7,"T","T",6.211357168,0,0.245,6.211357168,"N",0.64,0.82,21,9.677,"4:29",6,974.4,0.9744,0.263793252,6.456357168,4.48333333333333,0.217338289962825,0.317122166653728,1.42176438049755,4.22010853718271,5.3889100602183,5.18441657722184,5.18441657722184,0.204493482996461,0.204493482996461
"ISME8","ISME",8,"T","T",22.69933164,0,0.6404,22.69933164,"N",0.77,0.8,11,7.682,"3:47",27,1364.16,1.36416,0.372530057,23.33973164,3.78333333333333,0.360570925110132,0.317122166653728,1.19977886383994,22.5041470672232,18.2061530164918,17.7066091240599,17.7066091240599,0.49954389243189,0.49954389243189
"ISME9","ISME",9,"C","C",16.61363688,0,2.622252233,16.61363688,"N",0.6,0.83,25,12.921,"3:05",25,1071.84,1.07184,0.234676971,19.23588912,3.08333333333333,0.347623783783784,0.317122166653728,0.977793347182329,25.5677746959944,18.7700782156418,16.2113257015837,16.2113257015837,2.55875250722756,2.55875250722756
"LUAL1","LUAL",1,"T","T",10.51494213,0.0341,0.5109,10.54904213,"N",0.51,1.21,4,NA,"3:12",35,252.76,0.25276,0.247181295,11.05994213,3.2,0.0789875,0.195798281157502,0.626554499704008,55.8610623920735,25.1558279403398,23.9162259545123,23.9937863723411,1.16204156799866,1.2396019858275
