"species","Sample","treat","Order","feed","abundance","S","L","bm_name","a","b","S_bm","L_bm","total_bm"
"ERFA","ERFA10","T","AUCH","herb",3,3,0,"AUCH",0.0548,2.354,0.1644,0,0.1644
"ERFA","ERFA11","T","AUCH","herb",5,5,0,"AUCH",0.0548,2.354,0.274,0,0.274
"ERFA","ERFA12","T","AUCH","herb",6,6,0,"AUCH",0.0548,2.354,0.3288,0,0.3288
"ERFA","ERFA13","T","AUCH","herb",1,1,0,"AUCH",0.0548,2.354,0.0548,0,0.0548
"ERFA","ERFA3","T","AUCH","herb",1,1,0,"AUCH",0.0548,2.354,0.0548,0,0.0548
"ERFA","ERFA6","T","AUCH","herb",6,4,2,"AUCH",0.0548,2.354,0.2192,2.86457220562107,3.08377220562107
"ERFA","ERFA8","T","AUCH","herb",4,4,0,"AUCH",0.0548,2.354,0.2192,0,0.2192
"ERFA","ERFA10","T","COLE","herb",1,0,1,"COLE",0.041,2.64,0,1.5930236883263,1.5930236883263
"ERFA","ERFA11","T","COLE","herb",5,5,0,"COLE",0.041,2.64,0.205,0,0.205
"ERFA","ERFA12","T","COLE","herb",8,6,2,"COLE",0.041,2.64,0.246,3.1860473766526,3.4320473766526
"ERFA","ERFA2","T","COLE","herb",4,3,1,"COLE",0.041,2.64,0.123,1.5930236883263,1.7160236883263
"ERFA","ERFA3","T","COLE","herb",1,0,1,"COLE",0.041,2.64,0,1.5930236883263,1.5930236883263
"ERFA","ERFA6","T","COLE","herb",3,2,1,"COLE",0.041,2.64,0.082,1.5930236883263,1.6750236883263
"ERFA","ERFA12","T","DIPT","herb",1,1,0,"DIPT",0.0312,2.392,0.0312,0,0.0312
"ERFA","ERFA10","T","HETE","pred",1,1,0,"HETE",0.0341,2.688,0.0341,0,0.0341
"ERFA","ERFA12","T","HETE","pred",2,2,0,"HETE",0.0341,2.688,0.0682,0,0.0682
"ERFA","ERFA3","T","HETE","pred",4,2,2,"HETE",0.0341,2.688,0.0682,2.83218508496807,2.90038508496807
"ERFA","ERFA6","T","HETE","pred",10,8,2,"HETE",0.0341,2.688,0.2728,2.83218508496807,3.10498508496807
"ERFA","ERFA10","T","HYME","pred",3,3,0,"HYME",0.1636,1.9,0.4908,0,0.4908
