Sample,sp,plant,treat,treatw,herb,omni,pred,herb_om,flower,diameter,height,complexity,sample_g,vaccum,total_abun,plant_g,plant_kg,plant_vol,arth_mg,vac_min,kg_min,mean_kg_min,kg_vac,abun_kg,mg_kg
ERFA11,ERFA,11,T,T,1.472771031,11.56744034,4.982405387,13.04021137,Y,1.14,0.71,20,18.28,2:51,31,651.45,0.65145,0.724699452,18.02261676,2.85,0.228578947,0.187846158,0.53536155,57.90479348,33.66438392
ERFA12,ERFA,12,T,T,3.851847377,0,9.873410775,3.851847377,Y,1.2,0.8,14,10.856,2:44,26,651.45,0.65145,0.904778684,13.72525815,2.733333333,0.238335366,0.187846158,0.513446165,50.63822026,26.73164021
ERFA13,ERFA,13,C,T,2.163697316,0.0341,0.6996,2.197797316,Y,1.09,0.77,14,5.252,2:26,20,477.73,0.47773,0.7185113,2.897397316,2.433333333,0.196327397,0.187846158,0.457092318,43.75483732,6.33875741
ERFA2,ERFA,2,T,T,1.716023688,8.001162712,6.226104466,9.717186401,Y,1.27,0.85,16,22.282,3:38,46,608.02,0.60802,1.076753393,15.94329087,3.633333333,0.167344954,0.187846158,0.682507707,67.39850629,23.35986935
ERFA3,ERFA,3,T,T,1.647823688,0.0341,2.900385085,1.681923688,Y,1.19,0.55,24,20.992,2:30,27,477.73,0.47773,0.611711287,4.582308773,2.5,0.191092,0.187846158,0.469615395,57.49385623,9.757577845
ERFA4,ERFA,4,T,C,3.516809791,1.484292542,10.92764363,5.001102334,Y,1.24,0.57,25,17.533,3:56,31,434.3,0.4343,0.688348083,15.92874596,3.933333333,0.110415254,0.187846158,0.738861555,41.95643934,21.55849883
ERFA5,ERFA,5,T,C,1.907623688,8.667055255,1.496853703,10.57467894,Y,0.99,0.63,16,10.943,3:38,25,477.73,0.47773,0.484954306,12.07153265,3.633333333,0.131485321,0.187846158,0.682507707,36.62962298,17.68702759
ERFA6,ERFA,6,C,T,6.640803796,0,17.73390033,6.640803796,Y,1.3,0.71,18,27.674,4:09,36,390.87,0.39087,0.942399256,24.37470412,4.15,0.094185542,0.187846158,0.779561556,46.1798042,31.26719622
ERFA7,ERFA,7,C,C,0.582,8.632955255,1.867792542,9.214955255,Y,1.56,0.87,35,10.366,4:25,30,825.17,0.82517,1.662870124,11.0827478,4.416666667,0.186830943,0.187846158,0.829653864,36.15965801,13.35827901
ERFA8,ERFA,8,T,T,5.744915481,0,0.1636,5.744915481,Y,1.51,0.66,30,14.982,3:21,28,1042.32,1.04232,1.181918993,5.908515481,3.35,0.311140299,0.187846158,0.629284629,44.49496889,9.389257591
ERFA9,ERFA,9,C,C,1.118617353,5.90307017,10.17441077,7.021687523,Y,1.6,0.79,24,25.013,4:32,30,825.17,0.82517,1.588389246,17.1960983,4.533333333,0.182022794,0.187846158,0.851569249,35.22907858,20.19342327
ERPA1,ERPA,1,T,T,2.64159472,0.0341,0.1636,2.67569472,Y,1.14,1.12,30,9.669,2:58,6,542.24,0.54224,1.143187868,2.83929472,2.966666667,0.182777528,0.245930646,0.72959425,8.223749027,3.891607865
ERPA10,ERPA,10,C,C,0.548,0,1.1793,0.548,N,1.21,1.01,25,12.456,3:17,18,847.25,0.84725,1.161400466,1.7273,3.283333333,0.258045685,0.245930646,0.807472287,22.2917867,2.139144621
ERPA11,ERPA,11,T,T,0.069,0,0.589,0.069,Y,1.31,0.7,18,6.26,2:39,8,508.35,0.50835,0.943475252,0.658,2.65,0.191830189,0.245930646,0.651716212,12.27528157,1.009641909
ERPA12,ERPA,12,T,T,0.2033,0.0341,1.0498,0.2374,N,0.87,0.88,11,9.333,2:40,14,440.57,0.44057,0.523131725,1.2872,2.666666667,0.16521375,0.245930646,0.655815056,21.34748185,1.962748474
ERPA13,ERPA,13,T,T,2.671323688,0,0.268,2.671323688,N,1.3,0.89,15,10.743,2:27,25,948.92,0.94892,1.181317378,2.939323688,3.733333333,0.254175,0.245930646,0.918141078,27.22893093,3.201385667
ERPA2,ERPA,2,C,C,0.2841,0,0,0.2841,Y,1.22,1.03,18,NA,3:33,6,610.02,0.61002,1.204056225,0.2841,3.866666667,0.157763793,0.245930646,0.950931831,6.309600547,0.298759586
ERPA3,ERPA,3,T,T,11.38776582,0,9.722311696,11.38776582,Y,1,0.85,25,9.576,2:28,19,542.24,0.54224,0.667588439,21.11007751,2.466666667,0.219827027,0.245930646,0.606628927,31.32062974,34.79899587
ERPA4,ERPA,4,C,C,8.19202406,0,5.549304466,8.19202406,N,1.3,0.8,30,23.779,3:29,19,847.25,0.84725,1.061858317,13.74132853,3.483333333,0.243229665,0.245930646,0.856658417,22.17920192,16.0406158
ERPA5,ERPA,5,T,T,0.4844,1.416092542,12.82326485,1.900492542,Y,1.18,0.72,31,36.256,2:30,23,813.36,0.81336,0.78738365,14.72375739,2.5,0.325344,0.245930646,0.614826615,37.40892057,23.94782047
ERPA6,ERPA,6,C,C,0.4384,0,0.164,0.4384,N,1,0.96,22,NA,1:20,12,305.01,0.30501,0.753982237,0.6024,1.333333333,0.2287575,0.245930646,0.327907528,36.59568317,1.837103295
ERPA7,ERPA,7,T,T,0.121,0.341,8.34125762,0.462,Y,1.47,0.91,20,13.662,3:21,25,1152.26,1.15226,1.544421871,8.80325762,3.666666667,0.314252727,0.245930646,0.901745702,27.7240024,9.762461416
ERPA8,ERPA,8,C,C,11.86716582,0,2.873953154,11.86716582,Y,1.63,0.99,90,9.854,3:04,29,982.81,0.98281,2.065857137,14.74111897,2.2,0.446731818,0.245930646,0.541047421,53.59973798,27.24552118
ERPA9,ERPA,9,T,T,0.123,0,0,0.123,Y,0.96,1.14,16,16.545,2:55,3,610.02,0.61002,0.82515816,0.123,2.916666667,0.209149714,0.245930646,0.717297717,4.182363791,0.171476915
ISME1,ISME,1,T,T,4.943471065,0,2.726652233,4.943471065,N,0.64,0.93,17,6.356,3:44,9,682.08,0.68208,0.299180152,7.670123298,3.733333333,0.1827,0.317122167,1.183922756,7.601847298,6.478567341
ISME10,ISME,10,C,C,24.01835532,0,0.0682,24.01835532,N,0.48,0.93,19,4.765,2:30,20,974.4,0.9744,0.168288835,24.08655532,2.5,0.38976,0.317122167,0.792805417,25.22687103,30.38142123
ISME11,ISME,11,C,C,35.54712114,0,2.681452233,35.54712114,N,0.54,1.04,10,6.096,3:20,33,974.4,0.9744,0.238182989,38.22857338,3.333333333,0.29232,0.317122167,1.057073889,31.2182529,36.16452339
ISME12,ISME,12,C,C,14.73606054,0.0341,2.690452233,14.77016054,N,0.99,1.18,24,13.111,2:34,35,1364.16,1.36416,0.908327113,17.46061277,2.566666667,0.531490909,0.317122167,0.813946894,43.00034835,21.45178376
ISME13,ISME,13,C,C,25.88897901,0,0,25.88897901,Y,0.59,1.19,11,7.2,2:55,25,1266.72,1.26672,0.32534255,25.88897901,2.916666667,0.434304,0.317122167,0.924939653,27.02879039,27.98991149
