"species","Sample","treat","ID","feed","total","L","S","Adj"
"ERFA","ERFA4","C","THYS","herb",1,0,1,0
"ERFA","ERFA10","T","THYS","herb",6,0,6,0
"ERFA","ERFA11","T","THYS","herb",1,0,1,0
"ERFA","ERFA13","T","THYS","herb",8,0,8,0
"ERFA","ERFA6","T","THYS","herb",3,0,3,0
"ERPA","ERPA8","C","THYS","herb",2,0,2,0
"ERPA","ERPA1","T","THYS","herb",1,0,1,0
"ERPA","ERPA11","T","THYS","herb",2,0,2,0
"ERPA","ERPA7","T","THYS","herb",2,0,2,0
"ARCA","ARCA11","T","HEMI","herb",NA,8,10,NA
"ARCA","ARCA11.2",NA,"COLE","herb",NA,13,0,NA
"ARCA","ARCA11.2",NA,"HEMI","herb",NA,0,1,NA
"ARCA","ARCA14","C","HEMI","herb",NA,7,4,NA
"ARCA","ARCA14","C","HEMI","pred",NA,1,0,NA
"ARCA","ARCA2","T","HEMI","herb",NA,4,1,NA
"ARCA","ARCA4","T","HEMI","herb",NA,1,7,NA
"ARCA","ARCA5","C","HEMI","herb",NA,1,2,NA
"ARCA","ARCA5","C","HEMI","pred",NA,0,1,NA
"ARCA","ARCA6","T","HEMI","herb",NA,8,10,NA
"ARCA","ARCA6","T","LEPID","herb",NA,1,0,NA
"ARCA","ARCA7","T","HEMI","herb",NA,3,0,NA
"ARCA","ARCA9","T","HEMI","herb",NA,8,0,NA
"ARCA","ARCAC2",NA,"ARAN","pred",NA,1,0,NA
"ARCA","ARCAC2",NA,"DERM","omni",NA,1,0,NA
"ARCA","ARCAC2",NA,"DIPT","herb",NA,5,0,NA
"ARCA","ARCAC2",NA,"HEMI","herb",NA,5,1,NA
"ARCA","ARCAC2",NA,"HEMI","pred",NA,1,1,NA
"ARCA","ARCAC2",NA,"HYME","pred",NA,0,1,NA
"ARCA","ARCAC2",NA,"STER","herb",NA,0,1,NA
"ARDO","ARDO1","T","HEMI","herb",NA,4,7,NA
"ARDO","ARDO1","T","HYME","pred",NA,1,1,NA
"ARDO","ARDO1","T","LEPID","herb",NA,1,0,NA
"ARDO","ARDO1","T","PSCO","herb",NA,0,1,NA
"ARDO","ARDO10","C","HEMI","herb",NA,0,17,NA
"ARDO","ARDO10","C","HEMI","omni",NA,1,0,NA
"ARDO","ARDO10","C","HEMI","pred",NA,0,2,NA
"ARDO","ARDO10","C","HYME","pred",NA,0,3,NA
"ARDO","ARDO11","C","HEMI","herb",NA,4,7,NA
"ARDO","ARDO11","C","HYME","pred",NA,1,1,NA
"ARDO","ARDO13","C","HEMI","herb",NA,1,0,NA
"ARDO","ARDO13","C","HEMI","pred",NA,1,4,NA
"ARDO","ARDO3","T","HEMI","herb",NA,6,7,NA
"ARDO","ARDO3","T","HYME","pred",NA,0,1,NA
"ARDO","ARDO3","T","LEPID","herb",NA,2,0,NA
"ARDO","ARDO6","T","HEMI","herb",NA,1,4,NA
"ARDO","ARDO7","T","HEMI","herb",NA,3,5,NA
"ARDO","ARDO7","T","HEMI","pred",NA,0,2,NA
"ARDO","ARDO8","C","HEMI","herb",NA,8,10,NA
"ARDO","ARDO8","C","HEMI","pred",NA,0,1,NA
"ENCA","ENCA1","T","COLE","omni",NA,1,0,NA
"ENCA","ENCA1","T","COLE","pred",NA,0,1,NA
"ENCA","ENCA1","T","HEMI","herb",NA,1,1,NA
"ENCA","ENCA1","T","HYME","pred",NA,1,3,NA
"ENCA","ENCA11","C","HYME","pred",NA,0,1,NA
"ENCA","ENCA3","T","COLE","pred",NA,1,2,NA
"ENCA","ENCA3","T","HEMI","herb",NA,0,4,NA
"ENCA","ENCA3","T","HEMI","pred",NA,0,1,NA
"ENCA","ENCA3","T","HYME","pred",NA,1,0,NA
"ENCA","ENCA4","T","HEMI","herb",NA,0,19,NA
"ENCA","ENCA4","T","HYME","pred",NA,1,0,NA
"ENCA","ENCA5","C","HEMI","herb",NA,0,7,NA
"ENCA","ENCA5","C","HEMI","omni",NA,0,1,NA
"ENCA","ENCA5","C","HYME","pred",NA,0,3,NA
"ENCA","ENCA6","T","HEMI","herb",NA,7,2,NA
"ENCA","ENCA6","T","HYME","pred",NA,1,1,NA
"ENCA","ENCA7","C","COLE","pred",NA,0,1,NA
"ENCA","ENCA7","C","HEMI","herb",NA,0,2,NA
"ENCA","ENCA7","C","HYME","pred",NA,0,2,NA
"ENCA","ENCA7","C","LEPID","herb",NA,0,1,NA
"ENCA","ENCA8","T","COLE","omni",NA,1,1,NA
"ENCA","ENCA8","T","HEMI","herb",NA,0,1,NA
"ENCA","ENCA8","T","HEMI","pred",NA,0,7,NA
"ENCA","ENCA8","T","HYME","pred",NA,2,2,NA
"ENCA","ENCA9","T","COLE","pred",NA,0,6,NA
"ENCA","ENCA9","T","HEMI","herb",NA,0,7,NA
"ENCA","ENCA9","T","HYME","pred",NA,0,4,NA
"ENCA","ENCAx",NA,"ARAN","pred",NA,1,0,NA
"ENCA","ENCAX",NA,"ARAN","pred",NA,0,3,NA
"ENCA","ENCAX",NA,"HEMI","herb",NA,0,1,NA
"ENCA","ENCAX",NA,"HEMI","pred",NA,0,1,NA
"ENCA","ENCAX",NA,"HYME","pred",NA,0,1,NA
"ERFA","ERFA10","T","HEMI","herb",NA,1,2,NA
"ERFA","ERFA10","T","HEMI","omni",NA,0,10,NA
"ERFA","ERFA10","T","HEMI","pred",NA,1,0,NA
"ERFA","ERFA10","T","HYME","pred",NA,0,3,NA
"ERFA","ERFA11","T","HEMI","herb",NA,3,2,NA
"ERFA","ERFA11","T","HEMI","omni",NA,1,14,NA
"ERFA","ERFA11","T","HYME","pred",NA,1,0,NA
"ERFA","ERFA12","T","HEMI","herb",NA,7,0,NA
"ERFA","ERFA12","T","HEMI","pred",NA,2,0,NA
"ERFA","ERFA13","T","HEMI","herb",NA,1,5,NA
"ERFA","ERFA13","T","HEMI","omni",NA,0,1,NA
"ERFA","ERFA13","T","HYME","pred",NA,0,3,NA
"ERFA","ERFA2","T","HEMI","omni",NA,6,26,NA
"ERFA","ERFA2","T","HYME","pred",NA,0,6,NA
"ERFA","ERFA3","T","HEMI","herb",NA,0,1,NA
"ERFA","ERFA3","T","HEMI","omni",NA,1,0,NA
"ERFA","ERFA3","T","HEMI","pred",NA,0,4,NA
"ERFA","ERFA4","C","HEMI","herb",NA,0,9,NA
"ERFA","ERFA4","C","HEMI","omni",NA,2,1,NA
"ERFA","ERFA4","C","HEMI","pred",NA,1,4,NA
"ERFA","ERFA5","C","HEMI","herb",NA,0,2,NA
"ERFA","ERFA5","C","HEMI","omni",NA,2,9,NA
"ERFA","ERFA5","C","HYME","pred",NA,0,5,NA
"ERFA","ERFA6","T","HEMI","herb",NA,4,8,NA
"ERFA","ERFA6","T","HEMI","pred",NA,1,9,NA
"ERFA","ERFA6","T","HYME","pred",NA,2,0,NA
"ERFA","ERFA7","C","HEMI","herb",NA,0,2,NA
"ERFA","ERFA7","C","HEMI","omni",NA,0,10,NA
"ERFA","ERFA7","C","HEMI","pred",NA,0,2,NA
