"Sample","sp","plant","treat","flower","diameter","height","complexity","sample_g","vaccum","vac_sec","vac_min","abun_comp","plant_g","vac_g_min","dens_g_min","plant_kg","plant_vol","arth_biomass","kg_min"
"ARDO9","ARDO",9,"C","Y",0.81,0.77,4,NA,"2:51",171,2.85,29,628.02,220.3578947,0.131604089,0.62802,0.396780795953901,10.6532664625742,0.220357894736842
"ARDO10","ARDO",10,"C","N",0.72,0.83,3,1.098,"2:01",121,2.016666667,26,418.68,207.6099174,0.125234865,0.41868,0.337934838561347,14.3932863126467,0.207609917321056
"ARDO11","ARDO",11,"C","N",0.55,0.74,6,3.533,"2:21",141,2.35,25,348.9,148.4680851,0.168386357,0.3489,0.175811378876519,10.7274874011713,0.148468085106383
"ARDO12","ARDO",12,"T","N",0.48,0.78,8,NA,"2:57",177,2.95,42,279.12,94.61694915,0.443895099,0.27912,0.141145474740482,22.5795853546495,0.0946169491525424
"ARDO13","ARDO",13,"C","N",0.54,0.73,5,2.379,"2:40",160,2.666666667,21,279.12,104.67,0.200630553,0.27912,0.167186136246088,19.3080698618222,0.104669999986916
"ENCA1","ENCA",1,"T","Y",0.6,0.98,6,NA,"2:45",178,2.966666667,9,219.9,74.12359551,0.121418827,0.2199,0.27708847204662,6.71524477317034,0.0741235954972895
"ENCA2","ENCA",2,"C","N",1.64,1.12,8,6.545,"3:28",268,4.466666667,7,703.68,157.5402985,0.044433076,0.70368,2.36589572830663,9.40258850580744,0.157540298495706
"ENCA3","ENCA",3,"T","Y",1.24,0.95,10,NA,"4:00",240,4,22,615.72,153.93,0.142922107,0.61572,1.14724680523792,17.7335713157226,0.15393
"ENCA4","ENCA",4,"C","Y",1.2,0.94,12,11.47,"3:38",218,3.633333333,40,615.72,169.4642202,0.236038026,0.61572,1.06311495397479,NA,0.169464220199033
"ENCA5","ENCA",5,"C","N",0.81,1,15,4.747,"2:58",178,2.966666667,25,439.8,148.247191,0.168637259,0.4398,0.515299735005066,9.43247551218222,0.148247190994579
"ENCA6","ENCA",6,"T","N",1.19,1.21,8,17.766,"4:45",285,4.75,17,527.76,111.1073684,0.153005154,0.52776,1.34576483041642,6.85101777203507,0.111107368421053
"ENCA7","ENCA",7,"C","N",1.24,0.91,7,17.998,"3:15",195,3.25,21,659.7,202.9846154,0.103456116,0.6597,1.09894167659632,6.05672189169443,0.202984615384615
"ENCA8","ENCA",8,"T","Y",1.23,0.9,7,NA,"3:14",284,4.733333333,33,791.64,167.2478873,0.197311909,0.79164,1.0694059932636,41.0550394367825,0.167247887335722
"ENCA9","ENCA",9,"T","Y",1.3,0.81,10,NA,"2:44",284,4.733333333,29,791.64,167.2478873,0.173395314,0.79164,1.07513154587477,19.77969641244,0.167247887335722
"ENCA10","ENCA",10,"C","Y",1.35,0.85,12,22.222,"3:42",222,3.7,6,703.68,190.1837838,0.031548431,0.70368,1.21667992987307,1.97695671779432,0.190183783783784
"ENCA11","ENCA",11,"C","N",1.19,1.54,6,11.491,"3:56",266,4.433333333,17,527.76,119.043609,0.14280481,0.52776,1.71279160234817,2.26678081593724,0.119043609031507
"ENCA12","ENCA",12,"T","N",0.91,1.37,4,5.308,"2:30",150,2.5,16,263.88,105.552,0.151584053,0.26388,0.891031860179915,8.66885517132599,0.105552
"ENCA14","ENCA",14,"T","N",1.03,1.52,5,9.761,"1:33",160,2.666666667,7,175.92,65.97,0.106108837,0.17592,1.2665079455535,0.908211595141234,0.0659699999917537
"ERFA1","ERFA",1,"C","Y",1.43,0.9,14,23.456,"3:26",206,3.433333333,30,564.59,164.4436893,0.18243327,0.56459,1.4454546338983,12.2186900312578,0.164443689336354
"ERFA2","ERFA",2,"T","Y",1.27,0.85,16,22.282,"3:38",218,3.633333333,46,608.02,167.3449541,0.274881309,0.60802,1.07675339308218,19.4565970785538,0.167344954143793
"ERFA3","ERFA",3,"T","Y",1.19,0.55,24,20.992,"2:30",150,2.5,27,477.73,191.092,0.03663157,0.47773,0.61171128655292,4.87177456853114,0.191092
"ERFA4","ERFA",4,"C","Y",1.24,0.57,25,17.533,"4:05",120,2,31,434.3,217.15,0.142758462,0.4343,0.688348083142752,25.3184234624464,0.21715
"ERFA5","ERFA",5,"T","Y",0.99,0.63,16,10.943,"3:38",245,4.083333333,25,477.73,116.995102,0.213684159,0.47773,0.484954306165879,NA,0.116995102050367
"ERFA6","ERFA",6,"C","Y",1.3,0.71,18,27.674,"4:09",249,4.15,36,390.87,94.18554217,0.382224269,0.39087,0.942399256260598,NA,0.0941855421686747
"ERFA7","ERFA",7,"C","Y",1.56,0.87,35,10.366,"4:25",265,4.416666667,30,825.17,216.330566,0.138676658,0.82517,1.66287012428631,13.1241864527903,0.186830943382126
"ERFA8","ERFA",8,"T","Y",1.51,0.66,30,14.982,"3:21",210,3.5,28,1042.32,297.8057143,0.09402103,1.04232,1.18191899255926,4.84636580191184,0.297805714285714
"ERFA9","ERFA",9,"C","Y",1.6,0.79,24,25.013,"4:55",295,4.916666667,30,825.17,167.8311864,0.178751045,0.82517,1.588389245655,19.1365706754247,0.1678311864293
"ERFA10","ERFA",10,"T","Y",1.31,0.65,21,4.186,"2:43",163,2.716666667,30,651.45,175.8515337,0.170598455,0.65145,0.876084162334135,11.4866152660337,0.239797545982847
"ERFA11","ERFA",11,"T","Y",1.14,0.71,20,18.28,"2:51",171,2.85,31,651.45,228.5789474,0.135620539,0.65145,0.72469945173744,19.5675476200101,0.228578947368421
"ERFA12","ERFA",12,"T","Y",1.2,0.8,14,10.856,"2:44",164,2.733333333,26,651.45,238.3353659,0.109089979,0.65145,0.904778684233861,15.3389392781853,0.238335365882724
"ERFA13","ERFA",13,"T","Y",1.09,0.77,14,5.252,"2:26",133,2.216666667,20,477.73,137.1473684,0.145828536,0.47773,0.718511299608032,3.12658535688631,0.215517293200674
"ERPA1","ERPA",1,"T","Y",1.14,1.12,30,9.669,"2:58",178,2.966666667,6,542.24,182.7775281,0.032826793,0.54224,1.14318786752948,3.19677168992564,0.182777528069351
"ERPA2","ERPA",2,"C","Y",1.22,1.03,18,NA,"3:52",232,3.866666667,6,610.02,157.7637931,0.03803154,0.61002,1.20405622519278,0.743652959329004,0.157763793089848
"ERPA3","ERPA",3,"T","Y",1,0.85,25,9.576,"2:28",148,2.466666667,19,542.24,219.827027,0.086431592,0.54224,0.667588438887831,16.1848345574279,0.219827026997321
"ERPA4","ERPA",4,"C","N",1.3,0.8,30,23.779,"3:29",209,3.483333333,19,847.25,243.2296651,0.078115472,0.84725,1.06185831691335,14.9638781408445,0.243229665095046
"ERPA5","ERPA",5,"T","Y",1.18,0.72,31,36.256,"2:30",150,2.5,23,813.36,325.344,0.070694403,0.81336,0.787383649954517,16.9357080737383,0.325344
"ERPA6","ERPA",6,"C","N",1,0.96,22,NA,"1:20",80,1.333333333,12,305.01,228.7575,0.052457296,0.30501,0.75398223686155,1.61697455296849,0.228757500057189
"ERPA7","ERPA",7,"T","Y",1.47,0.91,20,13.662,"3:40",265,4.416666667,25,1152.26,260.8890566,0.095826173,1.15226,1.54442187106985,6.45248334463516,0.260889056584084
"ERPA8","ERPA",8,"C","Y",1.63,0.99,90,9.854,"2:12",132,2.2,29,982.81,446.7318182,0.064915904,0.98281,2.06585713652737,6.39650313049136,0.446731818181818
"ERPA9","ERPA",9,"T","Y",0.96,1.14,16,16.545,"2:55",175,2.916666667,3,610.02,209.1497143,0.014343792,0.61002,0.825158160021281,0.358745147474179,0.209149714261811
"ERPA10","ERPA",10,"C","N",1.21,1.01,25,12.456,"3:17",197,3.283333333,18,847.25,258.0456853,0.06975509,0.84725,1.16140046554051,3.99903476262097,0.258045685305385
"ERPA11","ERPA",11,"T","Y",1.31,0.7,18,6.26,"2:39",159,2.65,8,508.35,191.8301887,0.041703551,0.50835,0.943475251744453,1.5644030848011,0.191830188679245
"ERPA12","ERPA",12,"T","N",0.87,0.88,11,9.333,"2:40",160,2.666666667,14,440.57,165.21375,0.08473871,0.44057,0.523131725490465,3.00043469997088,0.165213749979348
"ERPA13","ERPA",13,"T","N",1.3,0.89,15,10.743,"3:44",242,4.033333333,25,948.92,235.2694215,0.106261153,0.94892,1.1813173775661,4.89315184456496,0.235269421507047
"ISME1","ISME",1,"T","N",0.64,0.93,17,6.356,"3:44",224,3.733333333,9,682.08,182.7,0.049261084,0.68208,0.299180151586663,8.25362356330945,0.182700000016313
"ISME2","ISME",2,"T","N",0.84,0.84,17,NA,"3:40",220,3.666666667,18,779.52,212.5963636,0.084667488,0.77952,0.465508633038321,10.2443556634248,0.212596363617037
"ISME3","ISME",3,"T","N",0.49,0.61,14,4.863,"2:08",128,2.133333333,10,876.96,411.075,0.024326461,0.87696,0.115030200409354,14.834455951568,0.411075000064231
"ISME4","ISME",4,"T","N",0.58,1.04,15,10.228,"3:19",199,3.316666667,19,1071.84,323.1678392,0.058792979,1.07184,0.274776259853578,27.8875517157273,0.323167839163501
"ISME5","ISME",5,"T","N",0.71,1.11,14,5.367,"3:37",217,3.616666667,15,876.96,242.4774194,0.06186143,0.87696,0.439470327727206,14.1731652314604,0.242477419332491
"ISME6","ISME",6,"T","N",0.66,0.91,14,8.878,"3:18",198,3.3,29,584.64,177.1636364,0.163690476,0.58464,0.311328690378095,34.3873549923463,0.177163636363636
"ISME7","ISME",7,"T","N",0.64,0.82,21,9.677,"4:29",269,4.483333333,6,974.4,217.33829,0.027606732,0.9744,0.263793251936628,6.7162020014973,0.217338289978984
"ISME8","ISME",8,"T","N",0.77,0.8,11,7.682,"3:47",250,4.166666667,27,1364.16,327.3984,0.082468332,1.36416,0.372530056862678,29.2945653057411,0.327398399973808
"ISME9","ISME",9,"C","N",0.6,0.83,25,12.921,"3:05",185,3.083333333,25,1071.84,347.6237838,0.071916828,1.07184,0.234676971223158,27.6404986717402,0.347623783821365
"ISME10","ISME",10,"C","N",0.48,0.93,19,4.765,"2:30",150,2.5,20,974.4,389.76,0.051313629,0.9744,0.168288835267498,28.8772496125588,0.38976
"ISME11","ISME",11,"C","N",0.54,1.04,10,6.096,"3:20",200,3.333333333,33,974.4,292.32,0.112889984,0.9744,0.238182988624564,41.9460268606507,0.292320000029232
"ISME12","ISME",12,"C","N",0.99,1.18,24,13.111,"2:34",180,3,35,1364.16,454.72,0.076970443,1.36416,0.90832711313609,37.1269590734081,0.45472
"ISME13","ISME",13,"C","Y",0.59,1.19,11,7.2,"2:55",175,2.916666667,25,1266.72,434.304,0.057563366,1.26672,0.325342549807596,26.5955738532044,0.434303999950365
"LUAL1","LUAL",1,"T","N",0.51,1.21,4,NA,"3:12",231,3.85,35,252.76,65.65194805,0.533114417,0.25276,0.247181295382608,13.6821284974047,0.065651948051948
"LUAL2","LUAL",2,"C","N",0.83,0.72,12,1.458,"2:11",131,2.183333333,27,505.52,231.5358779,0.116612597,0.50552,0.389563772230441,11.5578052953741,0.231535877897944
"LUAL3","LUAL",3,"C","N",0.64,0.59,5,3.564,"2:41",161,2.683333333,15,379.14,141.2944099,0.106161312,0.37914,0.189802461759281,4.89434016602535,0.14129440995544
"LUAL4","LUAL",4,"T","N",0.84,0.56,7,10.151,"2:42",162,2.7,5,505.52,187.2296296,0.026705175,0.50552,0.310339088692214,4.94357984272795,0.18722962962963
"LUAL5","LUAL",5,"C","N",0.58,0.6,5,9.867,"2:35",155,2.583333333,18,315.95,122.3032258,0.147175186,0.31595,0.158524765300141,1.90759837076577,0.122303225822233
"LUAL6","LUAL",6,"T","N",0.6,0.64,3,13.333,"2:46",166,2.766666667,15,379.14,137.0385542,0.109458248,0.37914,0.180955736846772,9.60931379953746,0.137038554200357
"LUAL7","LUAL",7,"T","N",0.8,0.68,4,NA,"3:02",211,3.516666667,39,631.9,179.6872038,0.217043836,0.6319,0.34180528071057,17.4024533469641,0.179687203774437
"LUAL8","LUAL",8,"C","N",0.85,0.78,9,13.862,"3:04",184,3.066666667,9,568.71,185.448913,0.048530886,0.56871,0.442611134982632,6.3747203672959,0.185448913023321
"LUAL9","LUAL",9,"C","N",0.91,0.77,5,13.353,"2:01",121,2.016666667,28,821.47,407.3404959,0.068738562,0.82147,0.500798928714259,10.2671759807913,0.40734049580044
"LUAL10","LUAL",10,"T","N",0.84,0.6,7,15.044,"3:03",183,3.05,9,505.52,165.7442623,0.054300522,0.50552,0.332506166455944,4.20343870757481,0.165744262295082
"LUAL11","LUAL",11,"T","N",0.98,0.53,5,13.517,"3:09",189,3.15,41,505.52,160.4825397,0.255479506,0.50552,0.399777089947262,27.2635832519917,0.16048253968254
"LUAL12","LUAL",12,"T","N",0.81,0.7,11,5.041,"2:31",151,2.516666667,51,758.28,301.3033113,0.169264652,0.75828,0.360709814503546,21.7228531762558,0.30130331121837
"LUAL13","LUAL",13,"T","N",0.8,0.71,10,5.249,"2:18",138,2.3,36,631.9,274.7391304,0.131033391,0.6319,0.356884925447801,11.9302818051649,0.274739130434783
"SAAP1","SAAP",1,"T","Y",0.98,1.24,12,NA,"2:47",167,2.783333333,37,1433.7,515.1017964,0.071830462,1.4337,0.935327531197367,34.6603872353765,0.515101796468874
"SAAP2","SAAP",2,"C","N",0.82,0.9,14,NA,"2:51",171,2.85,38,764.64,268.2947368,0.141635279,0.76464,0.4752915525616,14.5349934934128,0.268294736842105
"SAAP3","SAAP",3,"T","Y",1.09,0.77,13,NA,"2:18",138,2.3,51,1146.96,498.6782609,0.102270349,1.14696,0.718511299608032,27.4946701728726,0.498678260869565
"SAAP4","SAAP",4,"C","Y",1.01,1.42,17,NA,"4:31",271,4.516666667,37,1624.86,359.7476015,0.102849887,1.62486,1.13768222640407,18.162162059825,0.359747601449465
"SAAP5","SAAP",5,"T","N",1.04,0.78,9,NA,"2:39",159,2.65,19,716.85,270.509434,0.070237846,0.71685,0.662599589753931,6.94348180952653,0.270509433962264
"SAAP6","SAAP",6,"C","N",1.11,0.54,11,7.58,"2:34",154,2.566666667,31,1146.96,446.8675325,0.069371789,1.14696,0.522552101645878,8.19828290766162,0.446867532409498
"SAAP7","SAAP",7,"T","Y",0.91,0.78,8,NA,"2:40",160,2.666666667,33,860.22,322.5825,0.102299412,0.86022,0.507302810905353,19.1949488088573,0.322582499959677
"SAAP8","SAAP",8,"C","N",0.83,0.92,6,7.555,"3:13",193,3.216666667,6,573.48,178.2839378,0.033654181,0.57348,0.497775931183342,2.30467849436979,0.178283937805359
"SAAP9","SAAP",9,"T","N",0.87,0.8,7,3.5,"2:33",153,2.55,22,955.8,374.8235294,0.058694288,0.9558,0.475574295900423,14.9403396731425,0.374823529411765
"SAAP10","SAAP",10,"T","N",1.21,0.67,13,NA,"2:45",165,2.75,73,1529.28,556.1018182,0.131270925,1.52928,0.770433972190237,32.0293024988972,0.556101818181818
"SAAP11","SAAP",11,"T","N",1.02,0.72,10,NA,"2:32",152,2.533333333,46,1146.96,452.7473684,0.101601916,1.14696,0.588332339423068,33.0397336345544,0.452747368480625
"SAAP12","SAAP",12,"C","N",0.85,0.9,8,1.286,"2:20",140,2.333333333,21,860.22,368.6657143,0.056962172,0.86022,0.510705155749191,10.704290888804,0.368665714338381
"SAAP14","SAAP",14,"C","N",1.13,0,8,NA,"2:19",139,2.316666667,43,1146.96,NA,NA,1.14696,0,NA,0.495090647410778
"SAAP15","SAAP",15,"T","Y",1.07,0.65,7,16.134,"4:15",255,4.25,38,764.64,179.9152941,0.211210504,0.76464,0.58448153222793,29.0663132105493,0.179915294117647
"SAME1","SAME",1,"T","N",0.8,0.82,5,NA,"3:20",200,3.333333333,12,376.5,112.95,0.1062417,0.3765,0.412176956150981,3.55819981930384,0.112950000011295
"SAME2","SAME",2,"C","N",1.19,1.14,6,13.579,"3:31",211,3.516666667,10,627.5,178.436019,0.056042497,0.6275,1.26791066667332,1.67577828622035,0.178436018940433
"SAME3","SAME",3,"T","N",0.94,0.64,4,15.858,"4:17",257,4.283333333,13,502,117.1984436,0.110922975,0.502,0.444145802993911,8.31752491872256,0.117198443588887
"SAME4","SAME",4,"C","Y",1.61,1.55,4,14.051,"4:00",240,4,29,690.25,172.5625,0.168055053,0.69025,3.15553739798092,NA,0.1725625
"SAME5","SAME",5,"T","N",0.74,0.78,5,15.351,"3:09",189,3.15,23,313.75,99.6031746,0.230916335,0.31375,0.335465546735625,3.92554267349514,0.0996031746031746
"SAME6","SAME",6,"C","Y",0.94,1.55,4,9.333,"3:30",210,3.5,16,439.25,125.5,0.12749004,0.43925,1.07566561662588,5.28308120783571,0.1255
"SAME7","SAME",7,"T","N",0.55,0.8,8,22.3,"3:15",195,3.25,14,439.25,135.1538462,0.103585657,0.43925,0.190066355542183,3.88970111525288,0.135153846153846
"SAME8","SAME",8,"T","N",0.74,0.79,6,9.281,"2:57",177,2.95,12,376.5,127.6271186,0.094023904,0.3765,0.33976638707839,NA,0.127627118644068
"SAME9","SAME",9,"C","N",1.17,1.7,6,5.949,"3:58",238,3.966666667,9,439.25,110.7352941,0.0812749,0.43925,1.8277236279871,6.35269408396598,0.110735294108342
"SAME10","SAME",10,"T","Y",1.31,0.9,4,7.119,"3:41",221,3.683333333,12,502,136.2895928,0.088047809,0.502,1.21303960938573,8.30537565526801,0.136289592772515
"SAME11","SAME",11,"C","Y",1.64,1.88,8,8.657,"4:03",243,4.05,13,753,185.9259259,0.069920319,0.753,3.9713249725147,8.4101993367924,0.185925925925926
"SAME12","SAME",12,"T","N",0.85,0.74,7,10.121,"4:07",269,4.483333333,21,502,111.9702602,0.187549801,0.502,0.419913128060446,5.87120966852568,0.111970260231373
"SAME14","SAME",14,"T","N",0.67,1.32,14,NA,"3:01",181,3.016666667,19,376.5,124.8066298,0.152235502,0.3765,0.465386110924831,8.16760029962879,0.124806629820463
