Sample,sp,plant,treat,flower,diameter,height,complexity,sample_g,vaccum,vac_sec,vac_min,abun_comp,plant_g,vac_g_min,dens_g_min
SAAP15,SAAP,15,T,Y,1.07,0.65,7,16.134,4:15,255,4.25,38,764.64,179.9152941,0.211210504
SAME1,SAME,1,T,N,0.8,0.82,5,NA,3:20,200,3.333333333,12,376.5,112.95,0.1062417
SAME2,SAME,2,C,N,1.19,1.14,6,13.579,3:31,211,3.516666667,10,627.5,178.436019,0.056042497
SAME3,SAME,3,T,N,0.94,0.64,4,15.858,4:17,257,4.283333333,13,502,117.1984436,0.110922975
SAME4,SAME,4,C,Y,1.61,1.55,4,14.051,4:00,240,4,29,690.25,172.5625,0.168055053
SAME5,SAME,5,T,N,0.74,0.78,5,15.351,3:09,189,3.15,23,313.75,99.6031746,0.230916335
SAME6,SAME,6,C,Y,0.94,1.55,4,9.333,3:30,210,3.5,16,439.25,125.5,0.12749004
SAME7,SAME,7,T,N,0.55,0.8,8,22.3,3:15,195,3.25,14,439.25,135.1538462,0.103585657
SAME8,SAME,8,T,N,0.74,0.79,6,9.281,2:57,177,2.95,12,376.5,127.6271186,0.094023904
SAME9,SAME,9,C,N,1.17,1.7,6,5.949,3:58,238,3.966666667,9,439.25,110.7352941,0.0812749
SAME10,SAME,10,T,Y,1.31,0.9,4,7.119,3:41,221,3.683333333,12,502,136.2895928,0.088047809
SAME11,SAME,11,C,Y,1.64,1.88,8,8.657,4:03,243,4.05,13,753,185.9259259,0.069920319
SAME12,SAME,12,T,N,0.85,0.74,7,10.121,4:29,269,4.483333333,21,502,111.9702602,0.187549801
SAME14,SAME,14,T,N,0.67,1.32,14,NA,3:01,181,3.016666667,19,376.5,124.8066298,0.152235502
