"species","Sample","treat","ID","value","feed","size"
"LUAL","LUAL6.2",NA,"COLE",1,"herb","S"
"SAAP","SAAP10","T","COLE",1,"herb","S"
"SAAP","SAAP11","T","COLE",2,"herb","S"
"SAAP","SAAP15","T","COLE",1,"herb","S"
"SAAP","SAAP2","C","COLE",1,"herb","L"
"SAAP","SAAP3","T","COLE",10,"herb","L"
"SAAP","SAAP3","T","COLE",2,"herb","S"
"SAAP","SAAP6","C","COLE",1,"herb","L"
"SAAP","SAAP7","T","COLE",6,"herb","L"
"SAAP","SAAP7","T","COLE",1,"herb","S"
"SAAP","SAAP8","C","COLE",1,"herb","L"
"SAME","SAME11","C","COLE",2,"herb","L"
"SAME","SAME12","T","COLE",1,"herb","S"
"SAME","SAME3","T","COLE",1,"herb","S"
"SAME","SAME4","T","COLE",1,"herb","L"
"SAME","SAME5","T","COLE",3,"herb","S"
"SAME","SAME5.2",NA,"COLE",1,"herb","L"
"SAME","SAME5.2",NA,"COLE",1,"herb","S"
"ARCA","ARCAC2",NA,"DERM",1,"omni","L"
"ARCA","ARCA4","T","DIPT",1,"herb","S"
"ARCA","ARCAC2",NA,"DIPT",4,"herb","L"
"ARCA","ARCAC2",NA,"DIPT",1,"herb","L"
"ARDO","ARDO1","T","DIPT",4,"herb","S"
"ARDO","ARDO11","C","DIPT",1,"herb","S"
"ARDO","ARDO3","T","DIPT",6,"herb","S"
"ARDO","ARDO7","T","DIPT",1,"herb","S"
"ENCA","ENCA1","T","DIPT",1,"herb","S"
"ENCA","ENCA4","T","DIPT",4,"herb","S"
"ERFA","ERFA12","T","DIPT",1,"herb","S"
"ERFA","ERFA7","C","DIPT",2,"herb","S"
"ERPA","ERPA3","T","DIPT",1,"herb","S"
"ERPA","ERPA8","C","DIPT",1,"herb","S"
"LUAL","LUAL10","T","DIPT",1,"herb","S"
"LUAL","LUAL3","C","DIPT",1,"herb","S"
"SAAP","SAAP1","T","DIPT",1,"herb","S"
"SAAP","SAAP10","T","DIPT",2,"herb","S"
"SAAP","SAAP3","T","DIPT",4,"herb","S"
"SAME","SAME10","T","DIPT",1,"herb","S"
"SAME","SAME12","T","DIPT",1,"herb","S"
"SAME","SAME3","T","DIPT",1,"herb","S"
"ARCA","ARCA14","C","HYME",13,"pred","L"
"ARCA","ARCA5","C","HYME",9,"pred","L"
"ARCA","ARCA5","C","HYME",1,"pred","S"
"ARCA","ARCAC2",NA,"HYME",1,"pred","S"
"ARDO","ARDO7","T","HYME",1,"pred","L"
"ARDO","ARDO8","C","HYME",NA,"pred","S"
"ENCA","ENCAX",NA,"HYME",1,"pred","S"
"ERFA","ERFA12","T","HYME",2,"pred","L"
"ERFA","ERFA4","C","HYME",5,"pred","L"
"ERFA","ERFA4","C","HYME",1,"pred","S"
"ERPA","ERPA1","T","HYME",1,"pred","S"
"ERPA","ERPA10","C","HYME",7,"pred","S"
"ERPA","ERPA10","C","HYME",1,"pred","S"
"ISME","ISME11","C","HYME",1,"pred","S"
"LUAL","LUAL14",NA,"HYME",1,"pred","S"
"LUAL","LUAL4","T","HYME",2,"pred","L"
"SAAP","SAAP1","T","HYME",1,"pred","L"
"ERFA","ERFA6","T","ISOP",1,"herb","L"
"ARDO","ARDO13","C","LEPI",1,"herb","S"
"ERFA","ERFA6","T","LEPI",1,"herb","L"
"SAAP","SAAP4","C","LEPI",2,"herb","L"
"ARCA","ARCA4","T","MIRID",1,"omni","L"
"ISME","ISME12","C","MIRID",1,"omni","S"
"ARCA","ARCA6","T","NEUR",1,"pred","S"
"ERFA","ERFA11","T","NEUR",1,"pred","S"
"ERFA","ERFA5","C","NEUR",1,"pred","L"
"ISME","ISME7","T","NEUR",1,"pred","S"
"SAAP","SAAP6","C","NEUR",1,"pred","S"
"ARCA","ARCA6","T","ORTH",1,"herb","L"
"ARDO","ARDO10","C","ORTH",1,"herb","L"
"ERFA","ERFA11","T","ORTH",1,"herb","L"
"ERPA","ERPA1","T","ORTH",1,"herb","L"
"ERPA","ERPA12","T","ORTH",1,"herb","S"
"ERPA","ERPA4","C","ORTH",2,"herb","L"
"ISME","ISME12","C","ORTH",1,"herb","L"
"LUAL","LUAL12","T","ORTH",1,"herb","L"
"LUAL","LUAL13","T","ORTH",2,"herb","L"
"LUAL","LUAL6.2",NA,"ORTH",1,"herb","L"
"SAAP","SAAP1","T","ORTH",1,"herb","L"
"SAAP","SAAP3","T","ORTH",1,"herb","L"
"SAAP","SAAP5","T","ORTH",1,"herb","L"
"SAAP","SAAP6","C","ORTH",1,"herb","L"
"SAAP","SAAP7","T","ORTH",1,"herb","L"
"SAME","SAME12","T","ORTH",1,"herb","L"
"ARDO","ARDO1","T","PSCO",1,"herb","S"
"SAAP","SAAP1","T","PSCO",1,"herb","S"
"ENCA","ENCA10","C","PSOC",1,"herb","S"
"ENCA","ENCA9","T","PSOC",1,"herb","S"
"SAME","SAME5","T","PSOC",2,"herb","L"
"ARCA","ARCA11","T","STER",4,"herb","S"
"ARCA","ARCA9","T","STER",2,"herb","S"
"ARCA","ARCAC2",NA,"STER",1,"herb","S"
"ISME","ISME11","C","STER",1,"herb","S"
"ISME","ISME3","T","STER",2,"herb","S"
"SAAP","SAAP1","T","STER",5,"herb","S"
"ARDO","ARDO7","T","THYS",1,"herb","L"
"ENCA","ENCA4","T","THYS",1,"herb","S"
"ERFA","ERFA10","T","THYS",6,"herb","S"
"ERFA","ERFA11","T","THYS",1,"herb","S"
"ERFA","ERFA13","T","THYS",8,"herb","S"
"ERFA","ERFA4","C","THYS",1,"herb","S"
"ERFA","ERFA6","T","THYS",3,"herb","S"
"ERPA","ERPA1","T","THYS",1,"herb","S"
"ERPA","ERPA11","T","THYS",1,"herb","S"
"ERPA","ERPA11","T","THYS",1,"herb","S"
"ERPA","ERPA7","T","THYS",2,"herb","S"
"ERPA","ERPA8","C","THYS",2,"herb","S"
