"species","Sample","treat","ID","value","feed","size"
"ARDO","ARDO13","C","HEMI",1,"herb","L"
"ARDO","ARDO3","T","HEMI",6,"herb","L"
"ARDO","ARDO3","T","HEMI",7,"herb","S"
"ARDO","ARDO6","T","HEMI",1,"herb","L"
"ARDO","ARDO6","T","HEMI",3,"herb","S"
"ARDO","ARDO7","T","HEMI",2,"herb","L"
"ARDO","ARDO7","T","HEMI",4,"herb","S"
"ARDO","ARDO8","C","HEMI",8,"herb","L"
"ARDO","ARDO8","C","HEMI",10,"herb","S"
"ENCA","ENCA1","T","HEMI",1,"herb","L"
"ENCA","ENCA1","T","HEMI",1,"herb","S"
"ENCA","ENCA3","T","HEMI",4,"herb","S"
"ENCA","ENCA4","T","HEMI",19,"herb","S"
"ENCA","ENCA5","C","HEMI",6,"herb","S"
"ENCA","ENCA6","T","HEMI",7,"herb","L"
"ENCA","ENCA6","T","HEMI",1,"herb","S"
"ENCA","ENCA7","C","HEMI",2,"herb","S"
"ENCA","ENCA8","T","HEMI",1,"herb","S"
"ENCA","ENCA9","T","HEMI",7,"herb","S"
"ENCA","ENCAX",NA,"HEMI",1,"herb","S"
"ERFA","ERFA10","T","HEMI",1,"herb","L"
"ERFA","ERFA10","T","HEMI",2,"herb","S"
"ERFA","ERFA11","T","HEMI",3,"herb","L"
"ERFA","ERFA11","T","HEMI",2,"herb","S"
"ERFA","ERFA12","T","HEMI",6,"herb","L"
"ERFA","ERFA13","T","HEMI",1,"herb","L"
"ERFA","ERFA3","T","HEMI",1,"herb","S"
"ERFA","ERFA4","C","HEMI",8,"herb","S"
"ERFA","ERFA5","C","HEMI",2,"herb","S"
"ERFA","ERFA6","T","HEMI",1,"herb","L"
"ERFA","ERFA6","T","HEMI",5,"herb","S"
"ERFA","ERFA7","C","HEMI",2,"herb","S"
"ERFA","ERFA9","C","HEMI",1,"herb","L"
"ERPA","ERPA1","T","HEMI",1,"herb","L"
"ERPA","ERPA10","C","HEMI",8,"herb","L"
"ERPA","ERPA10","C","HEMI",1,"herb","S"
"ERPA","ERPA10","C","HEMI",1,"herb","S"
"ERPA","ERPA11","T","HEMI",2,"herb","L"
"ERPA","ERPA11","T","HEMI",2,"herb","S"
"ERPA","ERPA12","T","HEMI",1,"herb","S"
"ERPA","ERPA3","T","HEMI",3,"herb","S"
"ERPA","ERPA3.1",NA,"HEMI",7,"herb","L"
"ERPA","ERPA4","C","HEMI",4,"herb","L"
"ERPA","ERPA4","C","HEMI",5,"herb","S"
"ERPA","ERPA7","T","HEMI",1,"herb","S"
"ERPA","ERPA8","C","HEMI",10,"herb","S"
"ISME","ISME1","T","HEMI",3,"herb","S"
"ISME","ISME12","C","HEMI",2,"herb","L"
"ISME","ISME12","C","HEMI",2,"herb","S"
"ISME","ISME13","C","HEMI",1,"herb","S"
"ISME","ISME4","T","HEMI",2,"herb","S"
"ISME","ISME5","T","HEMI",1,"herb","S"
"ISME","ISME6","T","HEMI",7,"herb","L"
"ISME","ISME7","T","HEMI",1,"herb","L"
"ISME","ISME8","T","HEMI",3,"herb","L"
"ISME","ISME8","T","HEMI",2,"herb","S"
"LUAL","LUAL10","T","HEMI",2,"herb","S"
"LUAL","LUAL11","T","HEMI",4,"herb","L"
"LUAL","LUAL11","T","HEMI",3,"herb","S"
"LUAL","LUAL12","T","HEMI",8,"herb","L"
