"species","Sample","treat","herb","omni","pred","herb_om"
"ISME","ISME4","T",13.0997895066104,0,5.14010446585264,13.0997895066104
"ISME","ISME5","T",8.34991844163151,0,5.14010446585264,8.34991844163151
"ISME","ISME6","T",18.2209229860735,0,0,18.2209229860735
"ISME","ISME7","T",6.21135716778944,0,0.245,6.21135716778944
"ISME","ISME8","T",22.6993316365682,0,0.6404,22.6993316365682
"ISME","ISME9","C",16.613636883263,0,2.62225223292632,16.613636883263
"LUAL","LUAL1","T",10.5149421299578,0.0341,0.5109,10.5490421299578
"LUAL","LUAL10","T",3.4276473766526,0,0.1574,3.4276473766526
"LUAL","LUAL11","T",29.1810263898734,0.1364,12.7001620861892,29.3174263898734
"LUAL","LUAL12","T",9.42203687576423,0.1023,5.45230446585264,9.52433687576423
"LUAL","LUAL13","T",9.26408647420219,0,0.053,9.26408647420219
