"species","Sample","treat","pred_abun","pred_mg","herb_abun","herb_mg","omni_abun","omni_mg","total_abun","total_mg","sample_g","plant_g","vaccum","vac_sec","vac_min","flower","diameter","height","complexity"
"ERFA","ERFA7","C",4,3.72201330718756,24,6.75029054793654,2,1.81642160754831,30,12.2887254626724,10.366,955.46,"4:25",265,4.41666666666667,"Y",1.56,0.87,35
"ERFA","ERFA8","T",1,2.27875315448393,27,5.32927983105914,0,0,28,7.60803298554308,14.982,1042.32,"3:30",210,3.5,"Y",1.51,0.66,30
"ERFA","ERFA9","C",7,5.00618655123766,10,4.33574323636856,11,2.3565203676873,28,11.6984501552935,25.013,825.17,"4:55",295,4.91666666666667,"Y",1.6,0.79,24
"ERPA","ERPA1","T",1,0.932973516127979,5,7.37906898412582,1,0.653516130647452,7,8.96555863090125,9.669,542.24,"2:58",178,2.96666666666667,"Y",1.14,1.12,30
"ERPA","ERPA10","C",3,3.95762770880861,10,4.0505076372147,1,0.00529158468263005,14,8.01342693070594,12.456,847.25,"3:17",197,3.28333333333333,"N",1.21,1.01,25
"ERPA","ERPA11","T",3,1.26897515794302,13,1.12732463349785,0,0,16,2.39629979144087,6.26,508.35,"2:39",159,2.65,"Y",1.31,0.7,18
"ERPA","ERPA12","T",4,3.79573305818718,11,5.31010762562637,3,0.540905664538888,18,9.64674634835244,9.333,643.91,"2:40",160,2.66666666666667,"N",0.87,0.88,11
"ERPA","ERPA13","T",2,1.78877051385752,25,7.52110416336394,0,0,27,9.30987467722146,10.743,948.92,"4:02",242,4.03333333333333,"N",1.3,0.89,15
"ERPA","ERPA2","C",0,0,6,2.36830184041556,0,0,6,2.36830184041556,NA,610.02,"3:52",232,3.86666666666667,"Y",1.22,1.03,18
"ERPA","ERPA3","T",6,8.13283316512977,17,22.4476387480728,0,0,23,30.5804719132026,9.576,542.24,"2:28",148,2.46666666666667,"Y",1,0.85,25
"ERPA","ERPA4","C",3,2.76488517400045,17,12.5314316654703,0,0,20,15.2963168394707,23.779,847.25,"3:29",209,3.48333333333333,"N",1.3,0.8,30
"ERPA","ERPA5","T",10,13.5452868943267,29,6.73335075363885,0,0,39,20.2786376479655,36.256,813.36,"2:30",150,2.5,"Y",1.18,0.72,31
"ERPA","ERPA6","C",0,0,12,2.36813860970498,0,0,12,2.36813860970498,NA,305.01,"1:20",80,1.33333333333333,"N",1,0.96,22
"ERPA","ERPA7","T",7,16.7791324638367,9,3.02490105004261,10,2.19747026598099,26,22.0015037798603,13.662,1152.26,"4:25",265,4.41666666666667,"Y",1.47,0.91,20
"ERPA","ERPA8","C",5,7.60668648354359,24,17.5661708728837,0,0,29,25.1728573564273,9.854,982.81,"2:12",132,2.2,"Y",1.63,0.99,90
"ISME","ISME1","T",3,2.07823742177647,12,13.9812460964778,0,0,15,16.0594835182542,6.356,876.96,"3:44",224,3.73333333333333,"N",0.64,0.93,17
"ISME","ISME10","C",0,0,19,34.9934550090941,2,0.501740676406959,21,35.495195685501,4.765,779.52,"2:30",150,2.5,"N",0.48,0.93,19
"ISME","ISME11","C",2,1.44567593773091,31,38.4176930202573,0,0,33,39.8633689579882,6.096,974.4,"3:20",200,3.33333333333333,"N",0.54,1.04,10
"ISME","ISME12","C",3,1.12594227330124,30,18.6871288069491,2,0.620076091662369,35,20.4331471719127,13.111,1364.16,"3:00",180,3,"N",0.99,1.18,24
"ISME","ISME13","C",0,0,25,23.2363388359087,0,0,25,23.2363388359087,7.2,779.52,"2:55",175,2.91666666666667,"Y",0.59,1.19,11
"ISME","ISME2","T",5,6.88232956443167,11,5.81983338389438,2,0.0868525518476211,18,12.7890155001737,NA,779.52,"3:40",220,3.66666666666667,"N",0.84,0.84,17
"ISME","ISME3","T",2,5.74356407319827,8,18.9326172367419,0,0,10,24.6761813099402,4.863,876.96,"2:08",128,2.13333333333333,"N",0.49,0.61,14
"ISME","ISME4","T",3,4.08338723309986,16,10.5191772472827,0,0,19,14.6025644803826,10.228,1071.84,"3:19",199,3.31666666666667,"N",0.58,1.04,15
"ISME","ISME5","T",3,8.01518746538521,13,8.77165330424141,0,0,16,16.7868407696266,5.367,876.96,"3:37",217,3.61666666666667,"N",0.71,1.11,14
"ISME","ISME6","T",0,0,32,25.8119808816168,0,0,32,25.8119808816168,8.878,584.64,"3:18",198,3.3,"N",0.66,0.91,14
"ISME","ISME7","T",2,2.09885270728142,13,10.1780515182692,0,0,15,12.2769042255506,9.677,1169.28,"4:29",269,4.48333333333333,"N",0.64,0.82,21
"ISME","ISME8","T",5,3.52037458503107,23,33.7303930329586,0,0,28,37.2507676179896,7.682,682.08,"4:10",250,4.16666666666667,"N",0.77,0.8,11
"ISME","ISME9","C",2,1.02540484320586,23,24.8199418758354,0,0,25,25.8453467190412,12.921,1071.84,"3:05",185,3.08333333333333,"N",0.6,0.83,25
"LUAL","LUAL1","T",4,2.81417535706338,29,15.9824087029617,2,0.873263157245551,35,19.6698472172706,NA,252.76,"3:51",231,3.85,"N",0.51,1.21,4
"LUAL","LUAL10","T",2,0.317853690889069,7,10.3733213805458,0,0,9,10.6911750714348,15.044,505.52,"3:03",183,3.05,"N",0.84,0.6,7
"LUAL","LUAL11","T",7,12.0901012589089,30,29.717365004501,4,0.878988106392396,41,42.6864543698022,13.517,505.52,"3:09",189,3.15,"N",0.98,0.53,5
"LUAL","LUAL12","T",7,9.09269875161979,41,22.812567604651,3,0.659241079794297,51,32.5645074360651,5.041,758.28,"2:31",151,2.51666666666667,"N",0.81,0.7,11
"LUAL","LUAL13","T",1,0.145695946678408,35,22.8355324629924,0,0,36,22.9812284096708,5.249,631.9,"2:18",138,2.3,"N",0.8,0.71,10
"LUAL","LUAL2","C",3,8.21948308511211,18,6.30393424281349,6,2.21084523362102,27,16.7342625615466,1.458,505.52,"2:11",131,2.18333333333333,"N",0.83,0.72,12
"LUAL","LUAL3","C",2,0.777556112491998,10,3.82941521009673,3,1.917833218891,15,6.52480454147973,3.564,379.14,"2:41",161,2.68333333333333,"N",0.64,0.59,5
"LUAL","LUAL4","T",2,4.04687660251999,13,0.977759380414109,1,0.0341,16,5.0587359829341,10.151,505.52,"2:42",162,2.7,"N",0.84,0.56,7
"LUAL","LUAL5","C",1,0.43713937259468,13,2.50782344525991,2,0.253847026598099,16,3.19880984445269,9.867,315.95,"2:35",155,2.58333333333333,"N",0.58,0.6,5
"LUAL","LUAL6","T",4,5.52199133821738,14,10.2711585385472,5,2.28170702988315,23,18.0748569066477,13.333,379.14,"2:46",166,2.76666666666667,"N",0.6,0.64,3
"LUAL","LUAL7","T",10,15.8916919816313,27,13.0777710124485,2,5.91290554130514,39,34.8823685353849,NA,631.9,"3:31",211,3.51666666666667,"N",0.8,0.68,4
"LUAL","LUAL8","C",0,0,9,8.0507920222177,0,0,9,8.0507920222177,13.862,568.71,"3:04",184,3.06666666666667,"N",0.85,0.78,9
"LUAL","LUAL9","C",1,0.610576789661687,27,10.368279831052,0,0,28,10.9788566207137,13.353,821.47,"2:01",121,2.01666666666667,"N",0.91,0.77,5
"SAAP","SAAP1","T",6,23.7962185416518,31,23.8779855754772,0,0,37,47.674204117129,NA,1433.7,"2:47",167,2.78333333333333,"Y",0.98,1.24,12
"SAAP","SAAP10","T",4,4.89060122493659,69,28.7496428907105,0,0,73,33.6402441156471,NA,1529.28,"2:45",165,2.75,"N",1.21,0.67,13
"SAAP","SAAP11","T",1,0.353473362741615,45,49.4584004993668,0,0,46,49.8118738621084,NA,1146.96,"2:32",152,2.53333333333333,"N",1.02,0.72,10
"SAAP","SAAP12","C",1,0.512702421602929,20,9.94390141292523,0,0,21,10.4566038345282,1.286,860.22,"2:20",140,2.33333333333333,"N",0.85,0.9,8
"SAAP","SAAP15","T",12,23.1305363476556,25,17.9963944222711,1,0.10141161134269,38,41.2283423812694,16.134,764.64,"4:15",255,4.25,"N",1.13,0,8
"SAAP","SAAP2","C",3,2.32608615249033,35,15.8586674975333,0,0,38,18.1847536500236,NA,764.64,"2:51",171,2.85,"Y",1.07,0.65,7
"SAAP","SAAP3","T",15,32.9889860982852,34,31.642387826008,3,1.3411322612949,52,65.9725061855882,NA,1146.96,"2:18",138,2.3,"N",0.82,0.9,14
"SAAP","SAAP4","C",3,4.4692204122001,34,15.7437155238912,0,0,37,20.2129359360913,NA,1624.86,"4:31",271,4.51666666666667,"Y",1.09,0.77,13
"SAAP","SAAP5","T",0,0,10,7.77803076805792,9,1.97772323938289,19,9.75575400744081,NA,716.85,"2:39",159,2.65,"Y",1.01,1.42,17
"SAAP","SAAP6","C",3,1.56368912055095,27,13.0620954577922,1,0.219747026598099,31,14.8455316049412,7.58,1146.96,"2:34",154,2.56666666666667,"N",1.04,0.78,9
"SAAP","SAAP7","T",6,9.96081508508965,27,26.848854677421,0,0,33,36.8096697625107,NA,860.22,"2:40",160,2.66666666666667,"N",1.11,0.54,11
"SAAP","SAAP8","C",0,0,6,3.03656557819662,0,0,6,3.03656557819662,7.555,573.48,"3:13",193,3.21666666666667,"Y",0.91,0.78,8
"SAAP","SAAP9","T",1,1.31920923626954,21,22.2840802710502,0,0,22,23.6032895073197,3.5,955.8,"2:33",153,2.55,"N",0.83,0.92,6
"SAME","SAME1","T",2,2.37870023769775,10,10.5511009103097,0,0,12,12.9298011480074,NA,376.5,"3:20",200,3.33333333333333,"N",0.8,0.82,5
"SAME","SAME10","T",6,8.01530548130009,15,1.7699992631501,3,0.659241079794297,24,10.4445458242445,7.119,502,"3:41",221,3.68333333333333,"Y",1.31,0.9,4
"SAME","SAME11","C",2,1.44567593773091,8,5.27705219197804,3,0.659241079794297,13,7.38196920950325,8.657,753,"4:03",243,4.05,"Y",1.64,1.88,8
"SAME","SAME12","T",3,3.5652538367521,17,7.93005442961252,7,1.03101412171576,27,12.5263223880804,10.121,502,"4:29",269,4.48333333333333,"N",0.85,0.74,7
"SAME","SAME14","T",5,11.3463042843559,14,10.8698852720034,0,0,19,22.2161895563593,NA,376.5,"3:01",181,3.01666666666667,"N",0.67,1.32,14
"SAME","SAME2","C",0,0,8,3.72940234350046,2,0.620076091662369,10,4.34947843516283,13.579,627.5,"3:31",211,3.51666666666667,"N",1.19,1.14,6
"SAME","SAME3","T",4,6.86421476181688,12,4.96349720825417,1,0.219747026598099,17,12.0474589966691,15.858,502,"4:17",257,4.28333333333333,"N",0.94,0.64,4
"SAME","SAME4","T",6,9.35151160127203,25,8.45829413731115,11,5.96984700975323,42,23.7796527483364,NA,627.5,NA,NA,NA,"Y",1.61,1.55,4
"SAME","SAME5","T",2,2.17500623399908,21,7.16114871342353,1,0.219747026598099,24,9.5559019740207,15.351,313.75,"3:09",189,3.15,"N",0.74,0.78,5
"SAME","SAME6","C",0,0,14,13.6430042230421,2,0.754927741990142,16,14.3979319650322,9.333,439.25,"3:30",210,3.5,"Y",0.94,1.55,4
"SAME","SAME7","T",2,1.54355030578967,12,4.13323443929133,0,0,14,5.67678474508099,22.3,439.25,"3:15",195,3.25,"N",0.55,0.8,8
"SAME","SAME8","C",0,0,12,3.4483201672435,0,0,12,3.4483201672435,NA,NA,NA,NA,NA,"N",0.74,0.79,6
"SAME","SAME9","C",0,0,9,5.64097921630898,0,0,9,5.64097921630898,5.949,439.25,"3:58",238,3.96666666666667,"N",1.17,1.7,6
